competitor_id,store_name,source,genre,address,lat,lng,rating,review_count,business_hours,closed_days,url,memo
TBL00001,umie,tabelog,高松築港、片原町（高松）、高松 / カフェ,香川県高松市北浜町3-2北浜alley内,,,,349,,,https://tabelog.com/kagawa/A3701/A370101/37000531/,source=tabelog; import_method=script
TBL00002,南珈琲店,tabelog,瓦町、片原町（高松）、今橋 / カフェ,香川県高松市南新町3-4２Ｆ,,,,260,,,https://tabelog.com/kagawa/A3701/A370101/37003112/,source=tabelog; import_method=script
TBL00003,掬月亭,tabelog,栗林公園北口、栗林公園、栗林 / 甘味処,香川県高松市栗林町1-20-16栗林公園内,,,,134,,,https://tabelog.com/kagawa/A3701/A370101/37000927/,source=tabelog; import_method=script
TBL00004,三びきの子ぶた,tabelog,瓦町、栗林、今橋 / カフェ,香川県高松市常磐町1-4-9,,,,224,,,https://tabelog.com/kagawa/A3701/A370101/37003080/,source=tabelog; import_method=script
TBL00005,まちのシューレ 963　カフェ,tabelog,片原町（高松）、瓦町、高松築港 / カフェ,香川県高松市丸亀町13-3高松丸亀町参番街東館 2F,,,,121,,,https://tabelog.com/kagawa/A3701/A370101/37005810/,source=tabelog; import_method=script
TBL00006,コーヒーサロン 皇帝,tabelog,片原町（高松）、高松築港、高松 / 喫茶店,香川県高松市兵庫町11-5,,,,124,,,https://tabelog.com/kagawa/A3701/A370101/37004429/,source=tabelog; import_method=script
TBL00007,甘味茶屋 ぶどうの木,tabelog,片原町（高松）、高松築港、瓦町 / 甘味処,,,,,124,,,https://tabelog.com/kagawa/A3701/A370101/37003114/,source=tabelog; import_method=script
TBL00008,峰山ハチミツ,tabelog,栗林公園北口、昭和町、香西 / カフェ,香川県高松市峰山町1838-266,,,,58,,,https://tabelog.com/kagawa/A3701/A370101/37008556/,source=tabelog; import_method=script
TBL00009,珈琲美人 文月,tabelog,林道、木太東口 / 喫茶店,香川県高松市木太町828-1,,,,117,,,https://tabelog.com/kagawa/A3701/A370101/37002702/,source=tabelog; import_method=script
TBL00010,CAFE　LOURDES,tabelog,片原町（高松）、高松築港、高松 / カフェ,香川県高松市兵庫町1-15富貴ビル2F,,,,118,,,https://tabelog.com/kagawa/A3701/A370101/37006321/,source=tabelog; import_method=script
TBL00011,グレコ,tabelog,瓦町、栗林、栗林公園北口 / 喫茶店,香川県高松市田町11-2,,,,89,,,https://tabelog.com/kagawa/A3701/A370101/37004273/,source=tabelog; import_method=script
TBL00012,逸珈琲,tabelog,元山（高松）、木太東口、水田 / 喫茶店,香川県高松市林町1545-1,,,,67,,,https://tabelog.com/kagawa/A3701/A370101/37001167/,source=tabelog; import_method=script
TBL00013,グッドネイバーズコーヒー 高松店,tabelog,太田（高松）、伏石 / カフェ,香川県高松市多肥下町1552-26,,,,111,,,https://tabelog.com/kagawa/A3701/A370101/37008918/,source=tabelog; import_method=script
TBL00014,Lunch & Sweets STORY,tabelog,林道 / カフェ,香川県高松市松縄町1074-6シャーメゾン シュロス松縄 1F,,,,52,,,https://tabelog.com/kagawa/A3701/A370101/37011725/,source=tabelog; import_method=script
TBL00015,くつわ堂 総本店,tabelog,片原町（高松）、高松築港、高松 / 喫茶店,香川県高松市片原町1-2,,,,76,,,https://tabelog.com/kagawa/A3701/A370101/37005297/,source=tabelog; import_method=script
TBL00016,アンデルセン,tabelog,六万寺、八栗、古高松南 / 喫茶店,香川県高松市牟礼町牟礼974-7,,,,70,,,https://tabelog.com/kagawa/A3701/A370101/37004958/,source=tabelog; import_method=script
TBL00017,ジャラク コーヒー&カカオ,tabelog,元山（高松）、伏石、木太東口 / カフェ,香川県高松市林町2537-10ユメックスCUBE内,,,,72,,,https://tabelog.com/kagawa/A3701/A370101/37010482/,source=tabelog; import_method=script
TBL00018,カフェコンディトライ＆レスト シカ,tabelog,国分 / カフェ,香川県高松市国分寺町新名7-1,,,,84,,,https://tabelog.com/kagawa/A3701/A370101/37003222/,source=tabelog; import_method=script
TBL00019,tri cafe,tabelog,片原町（高松）、高松築港、高松 / カフェ,香川県高松市兵庫町1-3２Ｆ,,,,69,,,https://tabelog.com/kagawa/A3701/A370101/37003092/,source=tabelog; import_method=script
TBL00020,城の眼,tabelog,片原町（高松）、高松築港、瓦町 / 喫茶店,香川県高松市紺屋町2-4,,,,68,,,https://tabelog.com/kagawa/A3701/A370101/37002683/,source=tabelog; import_method=script
TBL00021,プロバンス・ブルー,tabelog,高松市 /カフェ・喫茶店(カフェ)、レストラン,香川県高松市屋島東町32-9,,,3.08,18,,,https://tabelog.com/kagawa/A3701/A370101/37001008/,source=tabelog; import_method=script
TBL00022,CAFE Lululu,tabelog,高松市 /カフェ・喫茶店(カフェ),香川県高松市高松町2487-10,,,3.33,29,,,https://tabelog.com/kagawa/A3701/A370101/37012232/,source=tabelog; import_method=script
TBL00023,dot．,tabelog,高松市 / バー、ダイニングバー、カフェ・喫茶店(カフェ),香川県高松市古馬場町1-11キタジマビル 2F,,,3.14,33,,,https://tabelog.com/kagawa/A3701/A370101/37001113/,source=tabelog; import_method=script
TBL00024,cafe SORAのいろ,tabelog,高松市 /カフェ・喫茶店(カフェ),香川県高松市前田西町697,,,3.33,34,,,https://tabelog.com/kagawa/A3701/A370101/37011824/,source=tabelog; import_method=script
TBL00025,5デイズコーヒー,tabelog,高松市 /カフェ・喫茶店(カフェ)、洋食、バル,香川県高松市鍛冶屋町1-112F,,,3.26,56,,,https://tabelog.com/kagawa/A3701/A370101/37009320/,source=tabelog; import_method=script
TBL00026,サテンドール,tabelog,高松市 /カフェ・喫茶店(喫茶店),香川県高松市塩上町1-1-23佐藤ビル　１F,,,3.07,12,,,https://tabelog.com/kagawa/A3701/A370101/37005624/,source=tabelog; import_method=script
TBL00027,モスバーガー フレスポ高松店,tabelog,高松市 / ハンバーガー、カフェ・喫茶店(カフェ),香川県高松市東山崎町668-1,,,3.04,20,,,https://tabelog.com/kagawa/A3701/A370101/37005472/,source=tabelog; import_method=script
TBL00028,世界劇場,tabelog,高松市 /カフェ・喫茶店(カフェ),香川県高松市古馬場町13-7ルーベルビル 4F,,,3.08,10,,,https://tabelog.com/kagawa/A3701/A370101/37013284/,source=tabelog; import_method=script
TBL00029,くるみ,tabelog,高松市 /カフェ・喫茶店(カフェ)、サンドイッチ,香川県高松市川島東町523-4,,,3.37,56,,,https://tabelog.com/kagawa/A3701/A370101/37008393/,source=tabelog; import_method=script
TBL00030,名物かまど 高松郷東店,tabelog,高松市 / ケーキ、和菓子、カフェ・喫茶店(カフェ),香川県高松市郷東町17-7,,,3.03,14,,,https://tabelog.com/kagawa/A3701/A370101/37007002/,source=tabelog; import_method=script
TBL00031,テンペル,tabelog,高松市 /カフェ・喫茶店(カフェ),香川県高松市塩上町1-3-18,,,3.07,11,,,https://tabelog.com/kagawa/A3701/A370101/37010713/,source=tabelog; import_method=script
TBL00032,珈琲倶楽部 欅,tabelog,高松市 /カフェ・喫茶店(喫茶店),,,,3.07,11,,,https://tabelog.com/kagawa/A3701/A370101/37003115/,source=tabelog; import_method=script
TBL00033,みち草,tabelog,高松市 /カフェ・喫茶店(喫茶店)、うどん、丼,,,,3.06,12,,,https://tabelog.com/kagawa/A3701/A370101/37004368/,source=tabelog; import_method=script
TBL00034,Coffee House JUN,tabelog,高松市 /カフェ・喫茶店(喫茶店),,,,3.15,15,,,https://tabelog.com/kagawa/A3701/A370101/37004540/,source=tabelog; import_method=script
TBL00035,Kid coffee,tabelog,高松市 /カフェ・喫茶店(カフェ),,,,3.08,10,,,https://tabelog.com/kagawa/A3701/A370101/37013682/,source=tabelog; import_method=script
TBL00036,M珈琲,tabelog,高松市 /カフェ・喫茶店(カフェ),,,,3.21,16,,,https://tabelog.com/kagawa/A3701/A370101/37013089/,source=tabelog; import_method=script
TBL00037,喫茶 権べ衛,tabelog,高松市 /カフェ・喫茶店(喫茶店),,,,3.11,16,,,https://tabelog.com/kagawa/A3701/A370101/37009499/,source=tabelog; import_method=script
TBL00038,ホワイトマリン,tabelog,高松市 /カフェ・喫茶店(喫茶店),,,,3.11,11,,,https://tabelog.com/kagawa/A3701/A370101/37002613/,source=tabelog; import_method=script
TBL00039,珈琲焙煎卸工房ビオス 屋島店,tabelog,高松市 /カフェ・喫茶店(コーヒースタンド)、パン,,,,3.10,12,,,https://tabelog.com/kagawa/A3701/A370101/37010240/,source=tabelog; import_method=script
TBL00040,チャフ,tabelog,高松市 /カフェ・喫茶店(カフェ)、スイーツ,,,,3.23,53,,,https://tabelog.com/kagawa/A3701/A370101/37003349/,source=tabelog; import_method=script
