store_name,detail_html,google_maps_url,saved_at
結果,data\html\google_maps\details\20260625_031532_結果.html,"https://www.google.com/maps/place/ABUKU+COFFEE+%EF%BC%86+LATTEART/@34.335298,133.9724502,13z/data=!4m11!1m3!2m2!1z6auY5p2-5biC44CA44Kr44OV44Kn!6e5!3m6!1s0x3553eb0048d36147:0x955defe82929472e!8m2!3d34.335298!4d134.0486679!15sChXpq5jmnb7luILjgIDjgqvjg5XjgqdaFiIU6auY5p2-IOW4giDjgqvjg5XjgqeSAQtjb2ZmZWVfc2hvcJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuVFVSSmJUWnRNMWhCRUFF4AEA-gEECDkQFw!16s%2Fg%2F11m5jjv74v?entry=ttu&g_ep=EgoyMDI2MDYyMS4wIKXMDSoASAFQAw%3D%3D",2026-06-25 03:15:34
ABUKU COFFEE ＆ LATTEART,data\html\google_maps\details\20260625_032640_ABUKU_COFFEE_＆_LATTEART.html,"https://www.google.com/maps/place/ABUKU+COFFEE+%EF%BC%86+LATTEART/@34.335298,133.9724502,13z/data=!4m11!1m3!2m2!1z6auY5p2-5biC44CA44Kr44OV44Kn!6e5!3m6!1s0x3553eb0048d36147:0x955defe82929472e!8m2!3d34.335298!4d134.0486679!15sChXpq5jmnb7luILjgIDjgqvjg5XjgqdaFiIU6auY5p2-IOW4giDjgqvjg5XjgqeSAQtjb2ZmZWVfc2hvcJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuVFVSSmJUWnRNMWhCRUFF4AEA-gEECDkQFw!16s%2Fg%2F11m5jjv74v?entry=ttu&g_ep=EgoyMDI2MDYyMS4wIKXMDSoASAFQAw%3D%3D",2026-06-25 03:26:42
LOGUE CAFE,data\html\google_maps\details\20260625_032659_LOGUE_CAFE.html,"https://www.google.com/maps/place/LOGUE+CAFE/@34.335298,133.9724502,13z/data=!4m11!1m3!2m2!1z6auY5p2-5biC44CA44Kr44OV44Kn!6e5!3m6!1s0x3553eb00016b36b1:0xb13f16eef1e14735!8m2!3d34.3464983!4d134.0460471!15sChXpq5jmnb7luILjgIDjgqvjg5XjgqdaFiIU6auY5p2-IOW4giDjgqvjg5XjgqeSAQRjYWZlmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU4yYURrdFIyNW5SUkFC4AEA-gEECBAQFQ!16s%2Fg%2F11y4zpw6j3?entry=ttu&g_ep=EgoyMDI2MDYyMS4wIKXMDSoASAFQAw%3D%3D",2026-06-25 03:27:00
Dr.s CAFE 未来図,data\html\google_maps\details\20260625_032714_Dr.s_CAFE_未来図.html,"https://www.google.com/maps/place/Dr.s+CAFE+%E6%9C%AA%E6%9D%A5%E5%9B%B3/@34.335298,133.9724502,13z/data=!3m1!5s0x3553ebb528685c0d:0x4f0d4a8a2a68dc77!4m11!1m3!2m2!1z6auY5p2-5biC44CA44Kr44OV44Kn!6e5!3m6!1s0x3553ebdee36811bf:0xcad751424ef5fba9!8m2!3d34.3212163!4d134.0411907!15sChXpq5jmnb7luILjgIDjgqvjg5XjgqdaFiIU6auY5p2-IOW4giDjgqvjg5XjgqeSAQRjYWZlmgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDJ0c2FtUjVNVXhOTWpWb1VXcFdSazR5Ums5V2JHOHlZMWN3ZWsxclJSQULgAQD6AQUIigEQGA!16s%2Fg%2F11rjjkr8v5?entry=ttu&g_ep=EgoyMDI2MDYyMS4wIKXMDSoASAFQAw%3D%3D",2026-06-25 03:27:16
カフェ ド ミストラル,data\html\google_maps\details\20260625_032745_カフェ_ド_ミストラル.html,"https://www.google.com/maps/place/%E3%82%AB%E3%83%95%E3%82%A7+%E3%83%89+%E3%83%9F%E3%82%B9%E3%83%88%E3%83%A9%E3%83%AB/@34.335298,133.9724502,13z/data=!3m1!5s0x3553eb907235d3d1:0xa9243d77e20b579f!4m11!1m3!2m2!1z6auY5p2-5biC44CA44Kr44OV44Kn!6e5!3m6!1s0x3553eb5bf4266675:0xaa4b6aa92be6e51d!8m2!3d34.3463593!4d134.0455235!15sChXpq5jmnb7luILjgIDjgqvjg5XjgqdaFiIU6auY5p2-IOW4giDjgqvjg5XjgqeSAQRjYWZlmgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDI1U05sWkdiR1prTVdneVYxUm9hMlZYUlRKWFNFazFZMnRqTWxaV1JSQULgAQD6AQQIDxAa!16s%2Fg%2F11j00f5_62?entry=ttu&g_ep=EgoyMDI2MDYyMS4wIKXMDSoASAFQAw%3D%3D",2026-06-25 03:27:47
喫茶 クナウフ,data\html\google_maps\details\20260625_032758_喫茶_クナウフ.html,"https://www.google.com/maps/place/%E5%96%AB%E8%8C%B6+%E3%82%AF%E3%83%8A%E3%82%A6%E3%83%95/@34.335298,133.9724502,13z/data=!4m11!1m3!2m2!1z6auY5p2-5biC44CA44Kr44OV44Kn!6e5!3m6!1s0x3553eb933f32d1e7:0xc51fba67dc5c0736!8m2!3d34.346672!4d134.0470416!15sChXpq5jmnb7luILjgIDjgqvjg5XjgqdaFiIU6auY5p2-IOW4giDjgqvjg5XjgqeSAQtjb2ZmZWVfc2hvcJoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQya3dNVlV4Vm0xVmJGVjZVMGhvVms1dE9VNVNWVTEzVTFSS1RGTnNSUkFC4AEA-gEECAAQFA!16s%2Fg%2F11ts5z7bv9?entry=ttu&g_ep=EgoyMDI2MDYyMS4wIKXMDSoASAFQAw%3D%3D",2026-06-25 03:28:00
kokokasiko,data\html\google_maps\details\20260625_032815_kokokasiko.html,"https://www.google.com/maps/place/kokokasiko/@34.335298,133.9724502,13z/data=!4m11!1m3!2m2!1z6auY5p2-5biC44CA44Kr44OV44Kn!6e5!3m6!1s0x3553eb14cd056c9b:0xffa7ab9e30bf6b56!8m2!3d34.3465014!4d134.0458388!15sChXpq5jmnb7luILjgIDjgqvjg5XjgqdaFiIU6auY5p2-IOW4giDjgqvjg5XjgqeSAQtjb2ZmZWVfc2hvcJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VNeGQyOXhVbEZSRUFF4AEA-gEECCcQDg!16s%2Fg%2F11krsz4cyf?entry=ttu&g_ep=EgoyMDI2MDYyMS4wIKXMDSoASAFQAw%3D%3D",2026-06-25 03:28:17
cafe SORAのいろ,data\html\google_maps\details\20260625_032826_cafe_SORAのいろ.html,"https://www.google.com/maps/place/cafe+SORA%E3%81%AE%E3%81%84%E3%82%8D/@34.335298,133.9724502,13z/data=!4m11!1m3!2m2!1z6auY5p2-5biC44CA44Kr44OV44Kn!6e5!3m6!1s0x3553957029e05c2b:0x71dd86127a781f!8m2!3d34.3063762!4d134.1110338!15sChXpq5jmnb7luILjgIDjgqvjg5XjgqdaFiIU6auY5p2-IOW4giDjgqvjg5XjgqeSAQRjYWZlmgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDJ0S1NXVllWWHBSVkZwM1kwWm9TbFl5YkZKVE1FWk5aRE5CZEUxdFl4QULgAQD6AQQIDBAe!16s%2Fg%2F11rfdd569p?entry=ttu&g_ep=EgoyMDI2MDYyMS4wIKXMDSoASAFQAw%3D%3D",2026-06-25 03:28:28
雨やすみ,data\html\google_maps\details\20260625_032857_雨やすみ.html,"https://www.google.com/maps/place/%E9%9B%A8%E3%82%84%E3%81%99%E3%81%BF/@34.3467806,133.9664865,13z/data=!3m1!5s0x3553eb920a60c6bd:0x21f0af1d160250f1!4m11!1m3!2m2!1z6auY5p2-5biC44CA44Kr44OV44Kn!6e5!3m6!1s0x3553eb4af0d6e3c7:0x17fd77e20437db54!8m2!3d34.3467806!4d134.0427042!15sChXpq5jmnb7luILjgIDjgqvjg5XjgqdaFiIU6auY5p2-IOW4giDjgqvjg5XjgqeSAQRjYWZlmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5LWjNKNVpYcEJSUkFC4AEA-gEECEYQHA!16s%2Fg%2F11k4925syh?entry=ttu&g_ep=EgoyMDI2MDYyMS4wIKXMDSoASAFQAw%3D%3D",2026-06-25 03:28:59
KID COFFEE&WAFFLE,data\html\google_maps\details\20260625_032914_KID_COFFEE&WAFFLE.html,"https://www.google.com/maps/place/KID+COFFEE%26WAFFLE/@34.3467806,133.9664865,13z/data=!4m11!1m3!2m2!1z6auY5p2-5biC44CA44Kr44OV44Kn!6e5!3m6!1s0x3553eb0018e08445:0xd641b4ab3af9fbff!8m2!3d34.3320328!4d134.0525347!15sChXpq5jmnb7luILjgIDjgqvjg5XjgqdaFiIU6auY5p2-IOW4giDjgqvjg5XjgqeSAQtjb2ZmZWVfc2hvcJoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyNWtSRmw2Vms1VlZtZzJUVEphZGxac2FGQmtWVEZVV2xoQk5GTnRZeEFC4AEA-gEECAAQGw!16s%2Fg%2F11vwpflxxk?entry=ttu&g_ep=EgoyMDI2MDYyMS4wIKXMDSoASAFQAw%3D%3D",2026-06-25 03:29:17
