判定,代表index,重複index,代表物件名,重複物件名,代表所在地,重複所在地,代表家賃,重複家賃,代表坪数,重複坪数,代表サイト,重複サイト,代表URL,重複URL
要確認候補,49,173,近藤第２ビル 3F,貸店舗・事務所(一部) 近藤第２ビル 3F,香川県高松市常磐町２丁目,香川県高松市常磐町２丁目,2万円,2 万円,,8.24,高松ハウジングサービス,エムクレア,https://www.takamatsuhousing.jp/kasi-tenpo/detail-66279c9acfabdb482d0d0275/,https://www.mcrea.jp/kasi-tenpo/detail-66279c9acfabdb482d0d0275/
要確認候補,50,52,ソウゲンビル 5階南,ＡＫビル鍛冶屋町Ⅱ １Ｆ,香川県高松市鍛冶屋町,香川県高松市鍛冶屋町,2.53万円,3.85万円,,,高松ハウジングサービス,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-69cf5e9d3e48c96bbe22d527/,https://www.takamatsuhousing.jp/kasi-tenpo/detail-6926a443aa781f981629c2d9/
要確認候補,50,71,ソウゲンビル 5階南,ソウゲンビル 5階,香川県高松市鍛冶屋町,香川県高松市鍛冶屋町,2.53万円,6.05万円,,,高松ハウジングサービス,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-69cf5e9d3e48c96bbe22d527/,https://www.takamatsuhousing.jp/kasi-tenpo/detail-69cf5969be5a90e31cbaa050/
要確認候補,50,120,ソウゲンビル 5階南,ツゥーフィートビル 5-B,香川県高松市鍛冶屋町,香川県高松市鍛冶屋町,2.53万円,16.5万円,,,高松ハウジングサービス,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-69cf5e9d3e48c96bbe22d527/,https://www.takamatsuhousing.jp/kasi-tenpo/detail-682a97c00113b83abe1a03d1/
要確認候補,50,145,ソウゲンビル 5階南,高松市 鍛冶屋町 (瓦町駅) の貸店舗（一部）,香川県高松市鍛冶屋町,香川県高松市鍛冶屋町,2.53万円,26.4万円,,,高松ハウジングサービス,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-69cf5e9d3e48c96bbe22d527/,https://www.takamatsuhousing.jp/kasi-tenpo/detail-59d30e12e5a69c6ccf3e274c/
要確認候補,50,174,ソウゲンビル 5階南,貸店舗（一部） ソウゲンビル 5階南,香川県高松市鍛冶屋町,香川県高松市鍛冶屋町,2.53万円,2.53 万円,,4.83,高松ハウジングサービス,エムクレア,https://www.takamatsuhousing.jp/kasi-tenpo/detail-69cf5e9d3e48c96bbe22d527/,https://www.mcrea.jp/kasi-tenpo/detail-69cf5e9d3e48c96bbe22d527/
要確認候補,50,185,ソウゲンビル 5階南,貸店舗（一部） ソウゲンビル 5階,香川県高松市鍛冶屋町,香川県高松市鍛冶屋町,2.53万円,6.05 万円,,9.55,高松ハウジングサービス,エムクレア,https://www.takamatsuhousing.jp/kasi-tenpo/detail-69cf5e9d3e48c96bbe22d527/,https://www.mcrea.jp/kasi-tenpo/detail-69cf5969be5a90e31cbaa050/
要確認候補,50,198,ソウゲンビル 5階南,貸店舗（一部） ツゥーフィートビル 5-B,香川県高松市鍛冶屋町,香川県高松市鍛冶屋町,2.53万円,16.5 万円,,18.63,高松ハウジングサービス,エムクレア,https://www.takamatsuhousing.jp/kasi-tenpo/detail-69cf5e9d3e48c96bbe22d527/,https://www.mcrea.jp/kasi-tenpo/detail-682a97c00113b83abe1a03d1/
要確認候補,50,209,ソウゲンビル 5階南,貸店舗（一部） 高松市 鍛冶屋町 (瓦町駅) の貸店舗（一部）,香川県高松市鍛冶屋町,香川県高松市鍛冶屋町,2.53万円,26.4 万円,,37.57,高松ハウジングサービス,エムクレア,https://www.takamatsuhousing.jp/kasi-tenpo/detail-69cf5e9d3e48c96bbe22d527/,https://www.mcrea.jp/kasi-tenpo/detail-59d30e12e5a69c6ccf3e274c/
要確認候補,51,55,クイーンズスクエア第２ビル 5－D,クイーンズスクエア第２ビル 3-C,香川県高松市瓦町１丁目,香川県高松市瓦町１丁目,3.3万円,4.4万円,,,高松ハウジングサービス,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977c42494231d07c6e16/,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977d4249410557f3b317/
