物件名,所在地,掲載サイト,詳細URL,latitude,longitude,家賃,家賃_円,面積,面積_㎡_補正,坪数,坪数_補正,坪単価,飲食可否,立地区分,店舗規模,物件タイプ推定,階数判定,駐車場判定,事業成立パターン,不足理由,推奨カフェモデル,推定席数,想定客単価,月間固定費,必要月商,必要日商_26日営業,必要日客数_26日営業,理論必要日客数,推奨必要日客数,初期投資中央値,事業成立性スコア,評価ランク,評価コメント,ダッシュボード表示コメント,space_openness_score,seongsu_design_score,night_business_score,parking_destination_score,investment_reality_score,fruit_cafe_business_score,seongsu_fit_score,seongsu_fit_stars,seongsu_rank,seongsu_fit_type,seongsu_fit_comment
パールコート 1階,香川県高松市百間町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-69e1f4f32b1cfe70dd417739/,34.3451724,134.0528471,22万円,220000.0,124.58㎡,124.58,,37.69,5838.0,可,中心街,大型,不明,1階・路面想定,不明,中心街・高回転型,,中心街ランチ・高回転型カフェ,41,1050,470000.0,1468750.0,56490.0,54.0,54.0,86.0,17900589,10,D,多客数が必須 / 必要月商150万円以下 / 初期投資は重め / 飲食可 / 1階・路面想定 / 中心街でも客数ハードル高め,"中心街・高回転型。必要月商1,468,750円、必要日客数54人が目安。",78,87,100,55,77,10.0,76.8,★★★★★,1,標準テナント実装型,条件を整理すれば韓国ソンス風として成立する候補。 星評価は★★★★★。坪数は約37.7坪で、夜カフェ・夜パフェ需要との相性が高い。
貸店舗・事務所(一部) パールコート 1階,香川県高松市百間町,エムクレア,https://www.mcrea.jp/kasi-tenpo/detail-69e1f4f32b1cfe70dd417739/,34.3451724,134.0528471,22 万円,220000.0,124.58㎡,124.58,37.68坪,37.68,5839.0,可,中心街,大型,店舗系,1階・路面想定,不明,中心街・高回転型,,中心街ランチ・高回転型カフェ,41,1050,470000.0,1468750.0,56490.0,54.0,54.0,86.0,17898000,10,D,多客数が必須 / 必要月商150万円以下 / 初期投資は重め / 飲食可 / 1階・路面想定 / 中心街でも客数ハードル高め,"中心街・高回転型。必要月商1,468,750円、必要日客数54人が目安。",78,87,100,55,77,10.0,76.8,★★★★★,2,標準テナント実装型,条件を整理すれば韓国ソンス風として成立する候補。 星評価は★★★★★。坪数は約37.7坪で、夜カフェ・夜パフェ需要との相性が高い。
貸店舗（一部） 京都興産ビル ５F,香川県高松市瓦町１丁目,エムクレア,https://www.mcrea.jp/kasi-tenpo/detail-5b433431e5a69c481006210e/,34.3178937,133.8417036,16.5 万円,165000.0,116.86㎡,116.86,35.34坪,35.34,4669.0,可,中心街,大型,店舗系,不明,不明,中心街・高回転型,,中心街目的来店・回転型カフェ,39,1100,415000.0,1220588.0,46946.0,43.0,43.0,73.0,18023400,32,D,推奨必要日客数80人以下 / 必要月商150万円以下 / 初期投資は重め / 飲食可 / 席数に対する必要回転数は低め,"中心街・高回転型。必要月商1,220,588円、必要日客数43人が目安。",78,75,100,55,87,32.0,75.9,★★★★☆,3,中心街夜カフェ型,条件を整理すれば韓国ソンス風として成立する候補。 星評価は★★★★☆。坪数は約35.3坪で、夜カフェ・夜パフェ需要との相性が高い。
京都興産ビル ５F,香川県高松市瓦町１丁目,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5b433431e5a69c481006210e/,34.3412277,134.051584,16.5万円,165000.0,116.86㎡,116.86,,35.35,4668.0,可,中心街,大型,不明,不明,不明,中心街・高回転型,,中心街目的来店・回転型カフェ,39,1100,415000.0,1220588.0,46946.0,43.0,43.0,73.0,18028577,32,D,推奨必要日客数80人以下 / 必要月商150万円以下 / 初期投資は重め / 飲食可 / 席数に対する必要回転数は低め,"中心街・高回転型。必要月商1,220,588円、必要日客数43人が目安。",78,75,100,55,87,32.0,75.9,★★★★☆,4,中心街夜カフェ型,条件を整理すれば韓国ソンス風として成立する候補。 星評価は★★★★☆。坪数は約35.4坪で、夜カフェ・夜パフェ需要との相性が高い。
貸店舗（一部） 大内ビル 1階,香川県高松市今新町,エムクレア,https://www.mcrea.jp/kasi-tenpo/detail-6833f5d6c196ea30e30ea1ee/,34.2609473,134.034365,15 万円,150000.0,69.03㎡,69.03,20.88坪,20.88,7184.0,可,中心街,中規模,店舗系,1階・路面想定,不明,中心街・高回転型,,中心街ランチ・高回転型カフェ,21,1050,310000.0,968750.0,37260.0,35.0,35.0,57.0,9918000,50,C,推奨必要日客数80人以下 / 必要月商150万円以下 / 初期投資1500万円以下 / 飲食可 / 1階・路面想定,"中心街・高回転型。必要月商968,750円、必要日客数35人が目安。",66,77,100,55,95,50.0,75.0,★★★★☆,5,標準テナント実装型,条件を整理すれば韓国ソンス風として成立する候補。 星評価は★★★★☆。坪数は約20.9坪で、夜カフェ・夜パフェ需要との相性が高い。
大内ビル 1階,香川県高松市今新町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-6833f5d6c196ea30e30ea1ee/,34.3439421,134.0526969,15万円,150000.0,69.03㎡,69.03,,20.88,7183.0,可,中心街,中規模,不明,1階・路面想定,不明,中心街・高回転型,,中心街ランチ・高回転型カフェ,21,1050,310000.0,968750.0,37260.0,35.0,35.0,57.0,9918748,50,C,推奨必要日客数80人以下 / 必要月商150万円以下 / 初期投資1500万円以下 / 飲食可 / 1階・路面想定,"中心街・高回転型。必要月商968,750円、必要日客数35人が目安。",66,77,100,55,95,50.0,75.0,★★★★☆,6,標準テナント実装型,条件を整理すれば韓国ソンス風として成立する候補。 星評価は★★★★☆。坪数は約20.9坪で、夜カフェ・夜パフェ需要との相性が高い。
貸店舗（一部） カーラビル １F,香川県高松市瓦町２丁目,エムクレア,https://www.mcrea.jp/kasi-tenpo/detail-5558977d424941055700b417/,34.3400205,134.0501426,49.5 万円,495000.0,124.54㎡,124.54,37.67坪,37.67,13140.0,可,中心街,大型,店舗系,1階・路面想定,不明,中心街・高回転型,,中心街ランチ・高回転型カフェ,41,1050,767250.0,2397656.0,92218.0,88.0,88.0,141.0,17893250,3,D,多客数が必須 / 必要月商250万円以下 / 初期投資は重め / 飲食可 / 1階・路面想定 / 中心街でも客数ハードル高め,"中心街・高回転型。必要月商2,397,656円、必要日客数88人が目安。",78,87,100,55,57,3.0,74.7,★★★★☆,7,標準テナント実装型,条件を整理すれば韓国ソンス風として成立する候補。 星評価は★★★★☆。坪数は約37.7坪で、夜カフェ・夜パフェ需要との相性が高い。
カーラビル １F,香川県高松市瓦町２丁目,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977d424941055700b417/,34.3399504,134.0514047,49.5万円,495000.0,124.54㎡,124.54,,37.67,13139.0,可,中心街,大型,不明,1階・路面想定,不明,中心街・高回転型,,中心街ランチ・高回転型カフェ,41,1050,767250.0,2397656.0,92218.0,88.0,88.0,141.0,17894842,3,D,多客数が必須 / 必要月商250万円以下 / 初期投資は重め / 飲食可 / 1階・路面想定 / 中心街でも客数ハードル高め,"中心街・高回転型。必要月商2,397,656円、必要日客数88人が目安。",78,87,100,55,57,3.0,74.7,★★★★☆,8,標準テナント実装型,条件を整理すれば韓国ソンス風として成立する候補。 星評価は★★★★☆。坪数は約37.7坪で、夜カフェ・夜パフェ需要との相性が高い。
高松市 百間町 (瓦町駅) の貸店舗（一部）,香川県高松市百間町,高松ハウジングサービス,https://www.takamatsuhousing.jp/kasi-tenpo/detail-68959441674fe57902cecc97/,34.3451724,134.0528471,22万円,220000.0,124.58㎡,124.58,,37.69,5838.0,可,中心街,大型,店舗系,不明,不明,中心街・高回転型,,中心街目的来店・回転型カフェ,41,1100,470000.0,1382353.0,53167.0,48.0,48.0,82.0,19219580,2,D,多客数が必須 / 必要月商150万円以下 / 初期投資は重め / 飲食可 / 中心街でも客数ハードル高め / 席数に対する必要回転数は低め,"中心街・高回転型。必要月商1,382,353円、必要日客数48人が目安。",78,75,100,55,77,2.0,73.0,★★★★☆,9,標準テナント実装型,条件を整理すれば韓国ソンス風として成立する候補。 星評価は★★★★☆。坪数は約37.7坪で、夜カフェ・夜パフェ需要との相性が高い。
貸店舗（一部） 高松市 百間町 (瓦町駅) の貸店舗（一部）,香川県高松市百間町,エムクレア,https://www.mcrea.jp/kasi-tenpo/detail-68959441674fe57902cecc97/,34.3451724,134.0528471,22 万円,220000.0,124.58㎡,124.58,37.68坪,37.68,5839.0,可,中心街,大型,店舗系,不明,不明,中心街・高回転型,,中心街目的来店・回転型カフェ,41,1100,470000.0,1382353.0,53167.0,48.0,48.0,82.0,19216800,2,D,多客数が必須 / 必要月商150万円以下 / 初期投資は重め / 飲食可 / 中心街でも客数ハードル高め / 席数に対する必要回転数は低め,"中心街・高回転型。必要月商1,382,353円、必要日客数48人が目安。",78,75,100,55,77,2.0,73.0,★★★★☆,10,標準テナント実装型,条件を整理すれば韓国ソンス風として成立する候補。 星評価は★★★★☆。坪数は約37.7坪で、夜カフェ・夜パフェ需要との相性が高い。
