物件名,所在地,掲載サイト,詳細URL,latitude,longitude,家賃,家賃_円,面積,面積_㎡_補正,坪数,坪数_補正,坪単価,飲食可否,立地区分,店舗規模,物件タイプ推定,階数判定,駐車場判定,事業成立パターン,不足理由,推奨カフェモデル,推定席数,想定客単価,月間固定費,必要月商,必要日商_26日営業,必要日客数_26日営業,初期投資中央値,事業成立性スコア,評価ランク,評価コメント,ダッシュボード表示コメント
西高松第2メディカルビル,香川県高松市郷東町-148-3,テナント香川,https://www.tenantkagawa.com/article/search/00002636,34.3473129,134.0147595,,,226m 2 (68.37坪）,226.0,,68.37,,不明,郊外,大型,店舗系,不明,不明,家賃未定・問い合わせ必要型,家賃未定,要個別検討,68,1000,,,,,34185000,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
ISB店舗1F【今里町】,香川県高松市今里町-2-11-2,テナント香川,https://www.tenantkagawa.com/article/search/00002638,34.3223726,134.0572363,,,92.24m 2 (27.90坪）,92.24,,27.9,,不明,準中心街,中規模,店舗系,1階・路面想定,不明,家賃未定・問い合わせ必要型,家賃未定,要個別検討,28,1000,,,,,13950000,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
大山テナントビル【中央町】1F,香川県高松市中央町-4-17,テナント香川,https://www.tenantkagawa.com/article/search/00002641,34.3364526,134.0452022,,,65m 2 (19.66坪）,65.0,,19.66,,可,準中心街,小規模,店舗系,1階・路面想定,不明,家賃未定・問い合わせ必要型,家賃未定,要個別検討,20,1000,,,,,9830000,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
西山崎貸事務所付き倉庫,香川県高松市西山崎町-892-1,テナント香川,https://www.tenantkagawa.com/article/search/00002642,34.280444,133.9941345,,,246.59m 2 (74.59坪）,246.59,,74.59,,不明,郊外,大型,倉庫・工場系,不明,不明,家賃未定・問い合わせ必要型,家賃未定,要個別検討,75,1000,,,,,42889250,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
ドミール松縄西号【今里町】レインボーエリアテナント,香川県高松市今里町2丁目-30-17,テナント香川,https://www.tenantkagawa.com/article/search/00002643,34.3252684,134.0629058,,,39m 2 (11.80坪）,39.0,,11.8,,不明,準中心街,極小,店舗系,不明,不明,家賃未定・問い合わせ必要型,家賃未定,要個別検討,12,1000,,,,,5900000,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
サニープレイス松縄１０２号室【松縄町】レインボーテナント,香川県高松市松縄町-１０３０―６,テナント香川,https://www.tenantkagawa.com/article/search/00002645,34.317896,134.0617251,,,67.72m 2 (20.49坪）,67.72,,20.49,,不明,準中心街,中規模,店舗系,不明,不明,家賃未定・問い合わせ必要型,家賃未定,要個別検討,20,1000,,,,,10245000,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
久保木工店舗【檀紙町】テナント,香川県高松市檀紙町-851-6,テナント香川,https://www.tenantkagawa.com/article/search/00002646,34.3040121,133.9999688,,,343m 2 (103.76坪）,343.0,,103.76,,不明,郊外,大型,店舗系,不明,不明,家賃未定・問い合わせ必要型,家賃未定,要個別検討,104,1000,,,,,51880000,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
大住ビル１Ｆ【田町】商店街テナント,香川県高松市田町-5-7,テナント香川,https://www.tenantkagawa.com/article/search/00002378,34.3370322,134.048861,,,77.92m 2 (23.57坪）,77.92,,23.57,,不明,中心街,中規模,店舗系,不明,不明,家賃未定・問い合わせ必要型,家賃未定,要個別検討,24,1000,,,,,11785000,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
ガーデンコート高松２Ｆ【大工町】テナント,香川県高松市大工町7--1,テナント香川,https://www.tenantkagawa.com/article/search/00002440,,,,,124.95m 2 (37.80坪）,124.95,,37.8,,不明,中心街,大型,店舗系,不明,不明,家賃未定・問い合わせ必要型,家賃未定,要個別検討,38,1000,,,,,18900000,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
サニープレイス松縄１０３号室【松縄町】レインボーテナント,香川県高松市松縄町-１０３０―６,テナント香川,https://www.tenantkagawa.com/article/search/00002238,34.317896,134.0617251,,,67.72m 2 (20.49坪）,67.72,,20.49,,不明,準中心街,中規模,店舗系,不明,不明,家賃未定・問い合わせ必要型,家賃未定,要個別検討,20,1000,,,,,10245000,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
ラフォーレナミキ南ビル１Ｆ南西【香西南町】テナント,香川県高松市香西南町-４７２,テナント香川,https://www.tenantkagawa.com/article/search/00002327,34.3394484,134.0002361,,,85.74m 2 (25.94坪）,85.74,,25.94,,不明,郊外,中規模,店舗系,不明,不明,家賃未定・問い合わせ必要型,家賃未定,要個別検討,26,1000,,,,,12970000,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
オーレックス西宝　１Ｆ【西宝町】テナント,香川県高松市西宝町1--16-26,テナント香川,https://www.tenantkagawa.com/article/search/00002336,,,,,38.83m 2 (11.75坪）,38.83,,11.75,,不明,準中心街,極小,店舗系,不明,不明,家賃未定・問い合わせ必要型,家賃未定,要個別検討,12,1000,,,,,5875000,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
岡ビル１Ｆ【瓦町１丁目】テナント,香川県高松市瓦町1--１３-１０,テナント香川,https://www.tenantkagawa.com/article/search/00002345,,,,,28.12m 2 (8.51坪）,28.12,,8.51,,不明,中心街,極小,店舗系,不明,不明,家賃未定・問い合わせ必要型,家賃未定,要個別検討,9,1000,,,,,4255000,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
丸協ビル２Ｆ【今里町】レインボーエリアテナント,香川県高松市今里町2-29-21,テナント香川,https://www.tenantkagawa.com/article/search/00002101,34.3252684,134.0629058,,,175.31m 2 (53.03坪）,175.31,,53.03,,不明,準中心街,大型,店舗系,不明,不明,家賃未定・問い合わせ必要型,家賃未定,要個別検討,53,1000,,,,,26515000,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
