物件名,所在地,家賃,面積,坪数,飲食可否,掲載サイト,詳細URL,住所取得可否,latitude,longitude,家賃数値,面積数値,坪数数値,家賃_円,面積_㎡_補正,坪数_補正,立地区分,店舗規模,物件タイプ推定,階数判定,駐車場判定,坪単価,事業成立パターン,不足理由,推奨カフェモデル,推定席数,原価率,人件費率,利益率,想定客単価,その他固定費,月間固定費,必要月商,必要日商_26日営業,必要月間客数,必要日客数_26日営業,初期投資下限,初期投資上限,初期投資中央値,事業成立性スコア,評価点,評価ランク,評価コメント,ダッシュボード表示コメント
西高松第2メディカルビル,香川県高松市郷東町-148-3,,226m 2 (68.37坪）,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002636,取得済み,34.3473129,134.0147595,,226.0,,,226.0,68.37,郊外,大型,店舗系,不明,不明,,家賃未定・問い合わせ必要型,家賃未定,要個別検討,68,0.3,0.25,0.1,1000,,,,,,,20511000,47859000,34185000,0,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
ISB店舗1F【今里町】,香川県高松市今里町-2-11-2,,92.24m 2 (27.90坪）,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002638,取得済み,34.3223726,134.0572363,,92.24,,,92.24,27.9,準中心街,中規模,店舗系,1階・路面想定,不明,,家賃未定・問い合わせ必要型,家賃未定,要個別検討,28,0.3,0.25,0.1,1000,,,,,,,8370000,19530000,13950000,0,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
大山テナントビル【中央町】1F,香川県高松市中央町-4-17,,65m 2 (19.66坪）,,可,テナント香川,https://www.tenantkagawa.com/article/search/00002641,取得済み,34.3364526,134.0452022,,65.0,,,65.0,19.66,準中心街,小規模,店舗系,1階・路面想定,不明,,家賃未定・問い合わせ必要型,家賃未定,要個別検討,20,0.3,0.25,0.1,1000,,,,,,,5898000,13762000,9830000,0,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
西山崎貸事務所付き倉庫,香川県高松市西山崎町-892-1,,246.59m 2 (74.59坪）,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002642,取得済み,34.280444,133.9941345,,246.59,,,246.59,74.59,郊外,大型,倉庫・工場系,不明,不明,,家賃未定・問い合わせ必要型,家賃未定,要個別検討,75,0.3,0.25,0.1,1000,,,,,,,26106500,59672000,42889250,0,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
ドミール松縄西号【今里町】レインボーエリアテナント,香川県高松市今里町2丁目-30-17,,39m 2 (11.80坪）,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002643,取得済み,34.3252684,134.0629058,,39.0,,,39.0,11.8,準中心街,極小,店舗系,不明,不明,,家賃未定・問い合わせ必要型,家賃未定,要個別検討,12,0.3,0.25,0.1,1000,,,,,,,3540000,8260000,5900000,0,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
サニープレイス松縄１０２号室【松縄町】レインボーテナント,香川県高松市松縄町-１０３０―６,,67.72m 2 (20.49坪）,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002645,取得済み,34.317896,134.0617251,,67.72,,,67.72,20.49,準中心街,中規模,店舗系,不明,不明,,家賃未定・問い合わせ必要型,家賃未定,要個別検討,20,0.3,0.25,0.1,1000,,,,,,,6147000,14343000,10245000,0,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
久保木工店舗【檀紙町】テナント,香川県高松市檀紙町-851-6,,343m 2 (103.76坪）,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002646,取得済み,34.3040121,133.9999688,,343.0,,,343.0,103.76,郊外,大型,店舗系,不明,不明,,家賃未定・問い合わせ必要型,家賃未定,要個別検討,104,0.3,0.25,0.1,1000,,,,,,,31128000,72632000,51880000,0,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
大住ビル１Ｆ【田町】商店街テナント,香川県高松市田町-5-7,,77.92m 2 (23.57坪）,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002378,取得済み,34.3370322,134.048861,,77.92,,,77.92,23.57,中心街,中規模,店舗系,不明,不明,,家賃未定・問い合わせ必要型,家賃未定,要個別検討,24,0.3,0.25,0.1,1000,,,,,,,7071000,16499000,11785000,0,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
ガーデンコート高松２Ｆ【大工町】テナント,香川県高松市大工町7--1,,124.95m 2 (37.80坪）,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002440,未取得,,,,124.95,,,124.95,37.8,中心街,大型,店舗系,不明,不明,,家賃未定・問い合わせ必要型,家賃未定,要個別検討,38,0.3,0.25,0.1,1000,,,,,,,11340000,26460000,18900000,0,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
サニープレイス松縄１０３号室【松縄町】レインボーテナント,香川県高松市松縄町-１０３０―６,,67.72m 2 (20.49坪）,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002238,取得済み,34.317896,134.0617251,,67.72,,,67.72,20.49,準中心街,中規模,店舗系,不明,不明,,家賃未定・問い合わせ必要型,家賃未定,要個別検討,20,0.3,0.25,0.1,1000,,,,,,,6147000,14343000,10245000,0,0,要確認,必要月商または必要客数が算定不可,家賃未定・問い合わせ必要型。必要月商円、必要日客数人が目安。
