物件名,営業シミュレーションURL
西高松第2メディカルビル,property_business_simulations/001_西高松第2メディカルビル.html
ISB店舗1F【今里町】,property_business_simulations/002_ISB店舗1F【今里町】.html
大山テナントビル【中央町】1F,property_business_simulations/003_大山テナントビル【中央町】1F.html
西山崎貸事務所付き倉庫,property_business_simulations/004_西山崎貸事務所付き倉庫.html
ドミール松縄西号【今里町】レインボーエリアテナント,property_business_simulations/005_ドミール松縄西号【今里町】レインボーエリアテナント.html
サニープレイス松縄１０２号室【松縄町】レインボーテナント,property_business_simulations/006_サニープレイス松縄１０２号室【松縄町】レインボーテナント.html
久保木工店舗【檀紙町】テナント,property_business_simulations/007_久保木工店舗【檀紙町】テナント.html
大住ビル１Ｆ【田町】商店街テナント,property_business_simulations/008_大住ビル１Ｆ【田町】商店街テナント.html
ガーデンコート高松２Ｆ【大工町】テナント,property_business_simulations/009_ガーデンコート高松２Ｆ【大工町】テナント.html
サニープレイス松縄１０３号室【松縄町】レインボーテナント,property_business_simulations/010_サニープレイス松縄１０３号室【松縄町】レインボーテナント.html
ラフォーレナミキ南ビル１Ｆ南西【香西南町】テナント,property_business_simulations/011_ラフォーレナミキ南ビル１Ｆ南西【香西南町】テナント.html
オーレックス西宝　１Ｆ【西宝町】テナント,property_business_simulations/012_オーレックス西宝_１Ｆ【西宝町】テナント.html
岡ビル１Ｆ【瓦町１丁目】テナント,property_business_simulations/013_岡ビル１Ｆ【瓦町１丁目】テナント.html
丸協ビル２Ｆ【今里町】レインボーエリアテナント,property_business_simulations/014_丸協ビル２Ｆ【今里町】レインボーエリアテナント.html
ＳＹＫ店舗【伏石町】テナント,property_business_simulations/015_ＳＹＫ店舗【伏石町】テナント.html
高橋ビル２Ｆ【松福町】テナント,property_business_simulations/016_高橋ビル２Ｆ【松福町】テナント.html
扇町メゾネット【扇町】タウンハウステナント,property_business_simulations/017_扇町メゾネット【扇町】タウンハウステナント.html
橋本ビル１Ｆ【木太町】レインボーエリアテナント,property_business_simulations/018_橋本ビル１Ｆ【木太町】レインボーエリアテナント.html
ラフォーレナミキ南店１Ｆ北【香西南町】テナント,property_business_simulations/019_ラフォーレナミキ南店１Ｆ北【香西南町】テナント.html
ＹＨ店舗1棟貸【国分寺町新居】,property_business_simulations/020_ＹＨ店舗1棟貸【国分寺町新居】.html
川田ビル【香西東町】,property_business_simulations/021_川田ビル【香西東町】.html
二ツ橋ビル201,property_business_simulations/022_二ツ橋ビル201.html
二ツ橋ビル202,property_business_simulations/023_二ツ橋ビル202.html
新田借地【新田町】,property_business_simulations/024_新田借地【新田町】.html
ウッドネスト香西テナント101号室【香西北町】,property_business_simulations/025_ウッドネスト香西テナント101号室【香西北町】.html
one apartment店舗102号【新北町】,property_business_simulations/026_one_apartment店舗102号【新北町】.html
ＧＭ戸建【飯田町】,property_business_simulations/027_ＧＭ戸建【飯田町】.html
ＳＫ店舗【屋島西町】,property_business_simulations/028_ＳＫ店舗【屋島西町】.html
チェリータウン103【桜町】テナント,property_business_simulations/029_チェリータウン103【桜町】テナント.html
ＳＺ店舗1棟貸【国分寺町福家】,property_business_simulations/030_ＳＺ店舗1棟貸【国分寺町福家】.html
エトワールビル1F【常磐町】,property_business_simulations/031_エトワールビル1F【常磐町】.html
ＭＮ店舗1Ｆ【香川町川東】,property_business_simulations/032_ＭＮ店舗1Ｆ【香川町川東】.html
ルヴァン店舗1棟貸【高松町】,property_business_simulations/033_ルヴァン店舗1棟貸【高松町】.html
ＲＩ事務所【香西本町】,property_business_simulations/034_ＲＩ事務所【香西本町】.html
ラフォーレナミキ1Ｆ南東号【香西南町】,property_business_simulations/035_ラフォーレナミキ1Ｆ南東号【香西南町】.html
山下店舗【上之町】,property_business_simulations/036_山下店舗【上之町】.html
内外テナント1階【国分寺町福家】,property_business_simulations/037_内外テナント1階【国分寺町福家】.html
三谷倉庫付事務所１棟貸【木太町】,property_business_simulations/038_三谷倉庫付事務所１棟貸【木太町】.html
阿部ビル101号【瓦町】,property_business_simulations/039_阿部ビル101号【瓦町】.html
阿部ビル201号【瓦町】,property_business_simulations/040_阿部ビル201号【瓦町】.html
アイアイビル1，2F【南新町】,property_business_simulations/041_アイアイビル1，2F【南新町】.html
あかねビル１棟貸【茜町】,property_business_simulations/042_あかねビル１棟貸【茜町】.html
オフィスビルいずみ東棟１F【上天神町】,property_business_simulations/043_オフィスビルいずみ東棟１F【上天神町】.html
オフィスビルいずみ東棟2F【上天神町】,property_business_simulations/044_オフィスビルいずみ東棟2F【上天神町】.html
オフィスビルいずみ東棟3F【上天神町】,property_business_simulations/045_オフィスビルいずみ東棟3F【上天神町】.html
Sunriseせきもと１F【中央町】,property_business_simulations/046_Sunriseせきもと１F【中央町】.html
オフィスビルいずみ東１棟貸【上天神町】,property_business_simulations/047_オフィスビルいずみ東１棟貸【上天神町】.html
Crest Court K2　1-Ａ【伏石町】,property_business_simulations/048_Crest_Court_K2_1-Ａ【伏石町】.html
プリンス三条テナント【三条町】,property_business_simulations/049_プリンス三条テナント【三条町】.html
近藤第２ビル 3F,property_business_simulations/050_近藤第２ビル_3F.html
ソウゲンビル 5階南,property_business_simulations/051_ソウゲンビル_5階南.html
クイーンズスクエア第２ビル 5－D,property_business_simulations/052_クイーンズスクエア第２ビル_5－D.html
ＡＫビル鍛冶屋町Ⅱ １Ｆ,property_business_simulations/053_ＡＫビル鍛冶屋町Ⅱ_１Ｆ.html
クイ－ンズスケア第一 ５階Ｇ,property_business_simulations/054_クイ－ンズスケア第一_５階Ｇ.html
スモールショップ　中央南側 ２階一部,property_business_simulations/055_スモールショップ_中央南側_２階一部.html
クイーンズスクエア第２ビル 3-C,property_business_simulations/056_クイーンズスクエア第２ビル_3-C.html
牟礼町牟礼　戸建　２Ｆ和室一部 2F,property_business_simulations/057_牟礼町牟礼_戸建_２Ｆ和室一部_2F.html
宮脇町ビル 東,property_business_simulations/058_宮脇町ビル_東.html
飲食店募集　ウイングポート　１Ｆ　２０．７３㎡ 1階一部,property_business_simulations/059_飲食店募集_ウイングポート_１Ｆ_２０．７３㎡_1階一部.html
スモールショップ　２Ｆ北側入口西側 ２階一部,property_business_simulations/060_スモールショップ_２Ｆ北側入口西側_２階一部.html
クイーンズスクエア第２ビル 5-C,property_business_simulations/061_クイーンズスクエア第２ビル_5-C.html
クイーンズスクエア第２ビル 3-B,property_business_simulations/062_クイーンズスクエア第２ビル_3-B.html
高松市 春日町 の貸店舗（一部）,property_business_simulations/063_高松市_春日町_の貸店舗（一部）.html
クイーンズスクエア第２ 7-B,property_business_simulations/064_クイーンズスクエア第２_7-B.html
クイーンズスクエアービル第２ 6-C,property_business_simulations/065_クイーンズスクエアービル第２_6-C.html
新井ビル 204,property_business_simulations/066_新井ビル_204.html
高松市 今里町１丁目 (栗林公園駅) の貸店舗・事務所(一部),property_business_simulations/067_高松市_今里町１丁目_(栗林公園駅)_の貸店舗・事務所(一部).html
高松市 瓦町１丁目 (瓦町駅) の貸店舗（一部）,property_business_simulations/068_高松市_瓦町１丁目_(瓦町駅)_の貸店舗（一部）.html
高松市 昭和町２丁目 (昭和町駅) の貸店舗・事務所(一部),property_business_simulations/069_高松市_昭和町２丁目_(昭和町駅)_の貸店舗・事務所(一部).html
高松市 花ノ宮町３丁目 (栗林公園駅) の貸店舗（一部）,property_business_simulations/070_高松市_花ノ宮町３丁目_(栗林公園駅)_の貸店舗（一部）.html
高松市 東田町 (瓦町駅) の貸店舗・事務所(一部),property_business_simulations/071_高松市_東田町_(瓦町駅)_の貸店舗・事務所(一部).html
ソウゲンビル 5階,property_business_simulations/072_ソウゲンビル_5階.html
クイーンズスクエア第２ 5-B,property_business_simulations/073_クイーンズスクエア第２_5-B.html
ＣＵＢＥ高松　旧共栄火災海上保険株式会社高松支社 ２０３,property_business_simulations/074_ＣＵＢＥ高松_旧共栄火災海上保険株式会社高松支社_２０３.html
松本ビル 1階,property_business_simulations/075_松本ビル_1階.html
クリエイトビル 302,property_business_simulations/076_クリエイトビル_302.html
高松市 花園町２丁目 (花園駅) の貸店舗（一部）,property_business_simulations/077_高松市_花園町２丁目_(花園駅)_の貸店舗（一部）.html
ＷＩＮＤ 202,property_business_simulations/078_ＷＩＮＤ_202.html
高松市 屋島西町 (潟元駅) の貸店舗（一部）,property_business_simulations/079_高松市_屋島西町_(潟元駅)_の貸店舗（一部）.html
