物件名,所在地,家賃,面積,坪数,飲食可否,掲載サイト,詳細URL,住所取得可否,latitude,longitude,家賃数値,面積数値,坪数数値
西高松第2メディカルビル,高松市郷東町-148-3,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002636,取得済み,34.3473129,134.0147595,,,
ISB店舗1F【今里町】,高松市今里町-2-11-2,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002638,取得済み,34.3223726,134.0572363,,,
大山テナントビル【中央町】1F,高松市中央町-4-17,,,,可,テナント香川,https://www.tenantkagawa.com/article/search/00002641,取得済み,34.3364526,134.0452022,,,
西山崎貸事務所付き倉庫,高松市西山崎町-892-1,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002642,取得済み,34.280444,133.9941345,,,
ドミール松縄西号【今里町】レインボーエリアテナント,高松市今里町2丁目-30-17,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002643,取得済み,34.3252684,134.0629058,,,
サニープレイス松縄１０２号室【松縄町】レインボーテナント,高松市松縄町-１０３０―６,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002645,取得済み,34.317896,134.0617251,,,
久保木工店舗【檀紙町】テナント,高松市檀紙町-851-6,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002646,取得済み,34.3040121,133.9999688,,,
大住ビル１Ｆ【田町】商店街テナント,高松市田町-5-7,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002378,取得済み,34.3370322,134.048861,,,
ガーデンコート高松２Ｆ【大工町】テナント,高松市大工町7--1,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002440,未取得,,,,,
サニープレイス松縄１０３号室【松縄町】レインボーテナント,高松市松縄町-１０３０―６,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002238,取得済み,34.317896,134.0617251,,,
ラフォーレナミキ南ビル１Ｆ南西【香西南町】テナント,高松市香西南町-４７２,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002327,取得済み,34.3394484,134.0002361,,,
オーレックス西宝　１Ｆ【西宝町】テナント,高松市西宝町1--16-26,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002336,未取得,,,,,
岡ビル１Ｆ【瓦町１丁目】テナント,高松市瓦町1--１３-１０,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002345,未取得,,,,,
丸協ビル２Ｆ【今里町】レインボーエリアテナント,高松市今里町2-29-21,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002101,取得済み,34.3252684,134.0629058,,,
ＳＹＫ店舗【伏石町】テナント,高松市伏石町-2166-10,,,,可,テナント香川,https://www.tenantkagawa.com/article/search/00002614,取得済み,34.312094,134.0553112,,,
高橋ビル２Ｆ【松福町】テナント,高松市松福町2-11-18,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002006,未取得,,,,,
扇町メゾネット【扇町】タウンハウステナント,高松市扇町1丁目-1-7,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002046,取得済み,34.3467131,134.036024,,,
橋本ビル１Ｆ【木太町】レインボーエリアテナント,高松市木太町-１１３０-１,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00001904,取得済み,34.3278475,134.0747791,,,
ラフォーレナミキ南店１Ｆ北【香西南町】テナント,高松市香西南町-４７２,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00001918,取得済み,34.3394484,134.0002361,,,
ＹＨ店舗1棟貸【国分寺町新居】,高松市国分寺町新居-1340-1,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002619,取得済み,34.3150123,133.9666553,,,
川田ビル【香西東町】,高松市香西東町-329-11,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002622,取得済み,34.3403451,134.007635,,,
二ツ橋ビル201,高松市上之町1丁目-13-18,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002627,取得済み,34.3209651,134.0447038,,,
二ツ橋ビル202,高松市上之町1丁目-13-18,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002629,取得済み,34.3209651,134.0447038,,,
新田借地【新田町】,高松市新田町甲-573-6,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002633,未取得,,,,,
ウッドネスト香西テナント101号室【香西北町】,高松市香西北町79-10,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002600,未取得,,,,,
one apartment店舗102号【新北町】,高松市新北町-13-11,,,,可,テナント香川,https://www.tenantkagawa.com/article/search/00002602,取得済み,34.3529843,134.0256404,,,
