物件名,所在地,家賃,面積,坪数,飲食可否,掲載サイト,詳細URL,住所取得可否,latitude,longitude,家賃数値,面積数値,坪数数値
ガーデンコート高松２Ｆ【大工町】テナント,高松市大工町7--1,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002440,未取得,,,,,
オーレックス西宝　１Ｆ【西宝町】テナント,高松市西宝町1--16-26,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002336,未取得,,,,,
岡ビル１Ｆ【瓦町１丁目】テナント,高松市瓦町1--１３-１０,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002345,未取得,,,,,
高橋ビル２Ｆ【松福町】テナント,高松市松福町2-11-18,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002006,未取得,,,,,
新田借地【新田町】,高松市新田町甲-573-6,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002633,未取得,,,,,
ウッドネスト香西テナント101号室【香西北町】,高松市香西北町79-10,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002600,未取得,,,,,
チェリータウン103【桜町】テナント,高松市桜町2-15-46,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002594,未取得,,,,,
ＭＮ店舗1Ｆ【香川町川東】,高松市香川町川東上1764番地,,,,可,テナント香川,https://www.tenantkagawa.com/article/search/00002548,未取得,,,,,
山下店舗【上之町】,高松市上之町3--9-40,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002381,未取得,,,,,
内外テナント1階【国分寺町福家】,高松市国分寺町福家甲823--3,,,,可,テナント香川,https://www.tenantkagawa.com/article/search/00002366,未取得,,,,,
三谷倉庫付事務所１棟貸【木太町】,高松市木太町-3173-18,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002247,未取得,,,,,
アイアイビル1，2F【南新町】,高松市南新町5--3,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002275,未取得,,,,,
あかねビル１棟貸【茜町】,高松市茜町19--12,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002282,未取得,,,,,
オフィスビルいずみ東棟１F【上天神町】,高松市上天神町780--6,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002286,未取得,,,,,
オフィスビルいずみ東棟2F【上天神町】,高松市上天神町780--6,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002287,未取得,,,,,
オフィスビルいずみ東棟3F【上天神町】,高松市上天神町780--6,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002288,未取得,,,,,
Sunriseせきもと１F【中央町】,高松市中央町15-15,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002151,未取得,,,,,
オフィスビルいずみ東１棟貸【上天神町】,高松市上天神町780--6,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002223,未取得,,,,,
高松市 香川町川東下 の貸店舗（一部）,,,,,確認必要,瀬戸内ブルースカイ,https://www.setouchibluesky.jp/kasi-tenpo/detail-66cd2b560b0aca0019518799/,未取得,,,,,
ＹＩビル 201,,,,,確認必要,瀬戸内ブルースカイ,https://www.setouchibluesky.jp/kasi-tenpo/detail-67711e227a66187f6e7381a5/,未取得,,,,,
ソリッド 4D,,,,,確認必要,瀬戸内ブルースカイ,https://www.setouchibluesky.jp/kasi-tenpo/detail-66f2a1cb01c9da32355dd689/,未取得,,,,,
富士ビル 地下１階,,,,,確認必要,瀬戸内ブルースカイ,https://www.setouchibluesky.jp/kasi-tenpo/detail-6860169eee192602e4d25557/,未取得,,,,,
貸倉庫 新田町倉庫西 1階,香川県高松市新田町甲,22 万円,154.50㎡,46.73坪,確認必要,植村不動産,https://www.uemura-re.jp/kasi-other/detail-682728ded63cad74d6bc85b5/,未取得,,,22.0,154.5,46.73
貸店舗（一括） 高松市 六条町 (水田駅) の貸店舗（一括）,香川県高松市六条町,25 万円,182.38㎡,55.16坪,可,エムクレア,https://www.mcrea.jp/kasi-tenpo/detail-58bf9517e5a69c0e2c12e0ed/,未取得,,,25.0,182.38,55.16
