物件名,所在地,家賃,面積,坪数,飲食可否,掲載サイト,詳細URL,住所取得可否,latitude,longitude,家賃数値,面積数値,坪数数値,家賃_円,面積_㎡_補正,坪数_補正,立地区分,店舗規模,物件タイプ推定,階数判定,駐車場判定,坪単価,事業成立パターン,不足理由,推奨カフェモデル,推定席数,原価率,人件費率,利益率,想定客単価,その他固定費,月間固定費,必要月商,必要日商_26日営業,必要月間客数,必要日客数_26日営業,理論必要日客数,推奨必要日客数,初期投資下限,初期投資上限,初期投資中央値,事業成立性スコア,評価点,評価ランク,評価コメント,ダッシュボード表示コメント,seongsu_rank,seongsu_fit_score,seongsu_fit_stars,seongsu_fit_type,ブランド順位,星評価,ブランド適合度,ブランドタイプ
西高松第2メディカルビル,高松市郷東町-148-3,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002636,取得済み,34.3473129,134.0147595,,,,,,,郊外,不明,店舗系,不明,不明,,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,0.3,0.25,0.1,1000,,,,,,,,,,,,0,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。,,,,,,評価不可,,飲食可否対象外
ISB店舗1F【今里町】,高松市今里町-2-11-2,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002638,取得済み,34.3223726,134.0572363,,,,,,,準中心街,不明,店舗系,1階・路面想定,不明,,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,0.3,0.25,0.1,1000,,,,,,,,,,,,0,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。,,,,,,評価不可,,飲食可否対象外
大山テナントビル【中央町】1F,高松市中央町-4-17,,,,可,テナント香川,https://www.tenantkagawa.com/article/search/00002641,取得済み,34.3364526,134.0452022,,,,,,,準中心街,不明,店舗系,1階・路面想定,不明,,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,0.3,0.25,0.1,1000,,,,,,,,,,,,0,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。,86.0,39.2,★☆☆☆☆,実装難度高,86.0,★☆☆☆☆,39.2,実装難度高
西山崎貸事務所付き倉庫,高松市西山崎町-892-1,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002642,取得済み,34.280444,133.9941345,,,,,,,郊外,不明,倉庫・工場系,不明,不明,,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,0.3,0.25,0.1,1000,,,,,,,,,,,,0,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。,,,,,,評価不可,,飲食可否対象外
ドミール松縄西号【今里町】レインボーエリアテナント,高松市今里町2丁目-30-17,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002643,取得済み,34.3252684,134.0629058,,,,,,,準中心街,不明,店舗系,不明,不明,,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,0.3,0.25,0.1,1000,,,,,,,,,,,,0,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。,,,,,,評価不可,,飲食可否対象外
サニープレイス松縄１０２号室【松縄町】レインボーテナント,高松市松縄町-１０３０―６,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002645,取得済み,34.317896,134.0617251,,,,,,,準中心街,不明,店舗系,不明,不明,,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,0.3,0.25,0.1,1000,,,,,,,,,,,,0,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。,,,,,,評価不可,,飲食可否対象外
久保木工店舗【檀紙町】テナント,高松市檀紙町-851-6,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002646,取得済み,34.3040121,133.9999688,,,,,,,郊外,不明,店舗系,不明,不明,,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,0.3,0.25,0.1,1000,,,,,,,,,,,,0,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。,,,,,,評価不可,,飲食可否対象外
大住ビル１Ｆ【田町】商店街テナント,高松市田町-5-7,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002378,取得済み,34.3370322,134.048861,,,,,,,不明,不明,店舗系,不明,不明,,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,0.3,0.25,0.1,1000,,,,,,,,,,,,0,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。,,,,,,評価不可,,飲食可否対象外
ガーデンコート高松２Ｆ【大工町】テナント,高松市大工町7--1,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002440,未取得,,,,,,,,,中心街,不明,店舗系,不明,不明,,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,0.3,0.25,0.1,1000,,,,,,,,,,,,0,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。,,,,,,評価不可,,飲食可否対象外
サニープレイス松縄１０３号室【松縄町】レインボーテナント,高松市松縄町-１０３０―６,,,,確認必要,テナント香川,https://www.tenantkagawa.com/article/search/00002238,取得済み,34.317896,134.0617251,,,,,,,準中心街,不明,店舗系,不明,不明,,家賃・面積不明型,家賃・面積不明,要問い合わせ・個別検討,,0.3,0.25,0.1,1000,,,,,,,,,,,,0,0,要確認,必要月商または推奨必要日客数が算定不可,家賃・面積不明型。必要月商円、必要日客数人が目安。,,,,,,評価不可,,飲食可否対象外
