property_index,物件名,所在地,nearby_500m_count,nearby_1000m_count,nearest_competitor_name,nearest_competitor_distance_m
0,西高松第2メディカルビル,香川県高松市郷東町-148-3,0,1,名物かまど 高松郷東店,615.9
1,ISB店舗1F【今里町】,香川県高松市今里町-2-11-2,0,1,Lunch & Sweets STORY,723.6
2,大山テナントビル【中央町】1F,香川県高松市中央町-4-17,1,10,グレコ,369.7
4,ドミール松縄西号【今里町】レインボーエリアテナント,香川県高松市今里町2丁目-30-17,0,1,Lunch & Sweets STORY,768.3
5,サニープレイス松縄102号室【松縄町】レインボーテナント,香川県高松市松縄町-1030―6,1,2,Lunch & Sweets STORY,167.4
7,大住ビル1F【田町】商店街テナント,香川県高松市田町-5-7,5,12,グレコ,57.5
9,サニープレイス松縄103号室【松縄町】レインボーテナント,香川県高松市松縄町-1030―6,1,2,Lunch & Sweets STORY,167.4
13,丸協ビル2F【今里町】レインボーエリアテナント,香川県高松市今里町2-29-21,0,1,Lunch & Sweets STORY,768.3
20,川田ビル【香西東町】,香川県高松市香西東町-329-11,0,1,名物かまど 高松郷東店,705.6
21,二ツ橋ビル201,香川県高松市上之町1丁目-13-18,0,1,掬月亭,968.7
22,二ツ橋ビル202,香川県高松市上之町1丁目-13-18,0,1,掬月亭,968.7
30,エトワールビル1F【常磐町】,香川県高松市常盤町1丁目-6-2,7,14,三びきの子ぶた,51.4
38,阿部ビル101号【瓦町】,香川県高松市瓦町2--8-8,0,1,Lunch & Sweets STORY,768.3
39,阿部ビル201号【瓦町】,香川県高松市瓦町2--8-8,0,1,Lunch & Sweets STORY,768.3
49,近藤第２ビル 3F,香川県高松市常磐町２丁目,6,14,三びきの子ぶた,150.6
50,ソウゲンビル 5階南,香川県高松市鍛冶屋町,10,14,5デイズコーヒー,78.6
51,クイーンズスクエア第２ビル 5－D,香川県高松市瓦町１丁目,10,14,世界劇場,82.2
52,ＡＫビル鍛冶屋町Ⅱ １Ｆ,香川県高松市鍛冶屋町,10,14,5デイズコーヒー,78.6
53,クイ－ンズスケア第一 ５階Ｇ,香川県高松市瓦町２丁目,8,14,三びきの子ぶた,129.1
55,クイーンズスクエア第２ビル 3-C,香川県高松市瓦町１丁目,10,14,世界劇場,82.2
56,牟礼町牟礼　戸建　２Ｆ和室一部 2F,香川県高松市牟礼町牟礼,0,1,アンデルセン,761.4
60,クイーンズスクエア第２ビル 5-C,香川県高松市瓦町１丁目,10,14,世界劇場,82.2
61,クイーンズスクエア第２ビル 3-B,香川県高松市瓦町１丁目,10,14,世界劇場,82.2
63,クイーンズスクエア第２ 7-B,香川県高松市瓦町１丁目,10,14,世界劇場,82.2
64,クイーンズスクエアービル第２ 6-C,香川県高松市瓦町１丁目,10,14,世界劇場,82.2
67,高松市 瓦町１丁目 (瓦町駅) の貸店舗（一部）,香川県高松市瓦町１丁目,10,14,世界劇場,82.2
69,高松市 花ノ宮町３丁目 (栗林公園駅) の貸店舗（一部）,香川県高松市花ノ宮町３丁目,0,1,掬月亭,555.2
70,高松市 東田町 (瓦町駅) の貸店舗・事務所(一部),香川県高松市東田町,3,11,グレコ,195.3
71,ソウゲンビル 5階,香川県高松市鍛冶屋町,10,14,5デイズコーヒー,78.6
72,クイーンズスクエア第２ 5-B,香川県高松市瓦町１丁目,10,14,世界劇場,82.2
73,ＣＵＢＥ高松　旧共栄火災海上保険株式会社高松支社 ２０３,香川県高松市塩屋町,6,14,世界劇場,336.7
74,松本ビル 1階,香川県高松市室新町,0,1,掬月亭,892.0
75,クリエイトビル 302,香川県高松市塩上町３丁目,2,9,サテンドール,350.6
76,高松市 花園町２丁目 (花園駅) の貸店舗（一部）,香川県高松市花園町２丁目,0,4,テンペル,598.4
77,ＷＩＮＤ 202,香川県高松市古新町,8,15,城の眼,151.6
81,高松市 花園町１丁目 (花園駅) の貸店舗（一部）,香川県高松市花園町１丁目,0,4,テンペル,574.9
82,小林店舗 １階　東,香川県高松市古馬場町,12,14,世界劇場,78.2
83,ＷＩＮＤ 003,香川県高松市古新町,8,15,城の眼,151.6
