competitor_id,store_name,source,genre,address,lat,lng,rating,review_count,business_hours,closed_days,url,linked_site_name,linked_url,memo
GMP00001,ABUKU COFFEE ＆ LATTEART,google_maps,コーヒーショップ・喫茶店,香川県高松市田町６−１３,,,4.9,101,営業開始: 11:00,,https://www.google.com/maps/place/ABUKU+COFFEE+＆+LATTEART/data=!4m7!3m6!1s0x3553eb0048d36147:0x955defe82929472e!8m2!3d34.335298!4d134.0486679!16s/g/11m5jjv74v!19sChIJR2HTSADrUzURLkcpKejvXZU?authuser=0&hl=ja&rclk=1,,,
GMP00002,LOGUE CAFE,google_maps,カフェ・喫茶,香川県高松市兵庫町７−１０,,,4.6,46,営業開始: 8:00（金）,,https://www.google.com/maps/place/LOGUE+CAFE/data=!4m7!3m6!1s0x3553eb00016b36b1:0xb13f16eef1e14735!8m2!3d34.3464983!4d134.0460471!16s/g/11y4zpw6j3!19sChIJsTZrAQDrUzURNUfh8e4WP7E?authuser=0&hl=ja&rclk=1,,,
GMP00003,umie,google_maps,カフェ・喫茶,香川県高松市北浜町３−２,,,4.3,608,営業開始: 11:00,,https://www.google.com/maps/place/umie/data=!4m7!3m6!1s0x3553ec7fbc3bcfed:0x51e78e34b6a771a!8m2!3d34.3512226!4d134.0562141!16s/g/1tc_nv87!19sChIJ7c87vH_sUzURGndqS-N4HgU?authuser=0&hl=ja&rclk=1,,,
GMP00004,Dr.s CAFE 未来図,google_maps,カフェ・喫茶,香川県高松市東ハゼ町１２−７ GRACIAS TAKAMATSU 1F,,,4.6,20,営業開始: 10:00,,https://www.google.com/maps/place/Dr.s+CAFE+未来図/data=!4m7!3m6!1s0x3553ebdee36811bf:0xcad751424ef5fba9!8m2!3d34.3212163!4d134.0411907!16s/g/11rjjkr8v5!19sChIJvxFo497rUzURqfv1TkJR18o?authuser=0&hl=ja&rclk=1,,,
GMP00005,カフェ ド ミストラル,google_maps,カフェ・喫茶,香川県高松市錦町１丁目１４−３,,,4.7,148,営業開始: 8:00,,https://www.google.com/maps/place/カフェ+ド+ミストラル/data=!4m7!3m6!1s0x3553eb5bf4266675:0xaa4b6aa92be6e51d!8m2!3d34.3463593!4d134.0455235!16s/g/11j00f5_62!19sChIJdWYm9FvrUzURHeXmK6lqS6o?authuser=0&hl=ja&rclk=1,,,
GMP00006,喫茶 クナウフ,google_maps,コーヒーショップ・喫茶店,香川県高松市兵庫町４−６,,,4.6,97,営業開始: 8:00,,https://www.google.com/maps/place/喫茶+クナウフ/data=!4m7!3m6!1s0x3553eb933f32d1e7:0xc51fba67dc5c0736!8m2!3d34.346672!4d134.0470416!16s/g/11ts5z7bv9!19sChIJ59EyP5PrUzURNgdc3Ge6H8U?authuser=0&hl=ja&rclk=1,,,
GMP00007,CRÉER COFFEE,google_maps,コーヒーショップ・喫茶店,香川県高松市太田下町３０１５−１２,,,4.1,241,営業開始: 9:00,,https://www.google.com/maps/place/CRÉER+COFFEE/data=!4m7!3m6!1s0x3553ea5c8afdc703:0x403f294dc16cfc97!8m2!3d34.3019891!4d134.0506965!16s/g/11b6hsqvnw!19sChIJA8f9ilzqUzURl_xswU0pP0A?authuser=0&hl=ja&rclk=1,,,
GMP00008,Cafe Pole Pole,google_maps,コーヒーショップ・喫茶店,香川県高松市瓦町２丁目９−４ 北川ビル,,,4.7,65,営業開始: 8:00,,https://www.google.com/maps/place/Cafe+Pole+Pole/data=!4m7!3m6!1s0x3553ebf0c647b7a1:0xe033e12479e2447a!8m2!3d34.3403346!4d134.0497552!16s/g/11l5b4zthd!19sChIJobdHxvDrUzURekTieSThM-A?authuser=0&hl=ja&rclk=1,,,
GMP00009,kokokasiko,google_maps,コーヒーショップ・喫茶店,香川県高松市兵庫町７−１３,,,4.7,31,営業開始: 11:00,,https://www.google.com/maps/place/kokokasiko/data=!4m7!3m6!1s0x3553eb14cd056c9b:0xffa7ab9e30bf6b56!8m2!3d34.3465014!4d134.0458388!16s/g/11krsz4cyf!19sChIJm2wFzRTrUzURVmu_MJ6rp_8?authuser=0&hl=ja&rclk=1,,,
GMP00010,cafe SORAのいろ,google_maps,カフェ・喫茶,香川県高松市前田西町６９７,,,4.6,116,営業開始: 11:00,,https://www.google.com/maps/place/cafe+SORAのいろ/data=!4m7!3m6!1s0x3553957029e05c2b:0x71dd86127a781f!8m2!3d34.3063762!4d134.1110338!16s/g/11rfdd569p!19sChIJK1zgKXCVUzURH3h6EobdcQA?authuser=0&hl=ja&rclk=1,,,
