site_list,category_list,name,detail_url,list_url,page_no,site_detail,category_detail,html_file,物件名,ページ見出し,賃料,管理費等,敷金/保証金,礼金,交通,所在地,築年月,使用部分面積,坪数/坪単価,その他交通,物件種目,賃料_2,敷引,保証金償却,その他一時金,造作譲渡,維持費等,保険等,権利金,坪単価,建物名・部屋番号,特記事項,設備,備考,坪数,土地面積,建階/階,建物構造,駐車場,バイク置き場,駐輪場,接道状況,用途地域,間取り,契約期間,現況,条件等,引渡可能時期,更新料,物件番号,情報公開日,次回更新予定日,200万円以下の金額,200万円を超え400万円以下の金額,400万円を超える金額,適格請求書発行,管理番号,latitude,longitude
エムクレア,貸店舗,近藤第２ビル 3F,https://www.mcrea.jp/kasi-tenpo/detail-66279c9acfabdb482d0d0275/,https://www.mcrea.jp/kasi-tenpo/kagawa/result/takamatsu-city.html,1,エムクレア,貸店舗,data\html\mcrea\detail\kasi-tenpo_detail-66279c9acfabdb482d0d0275.html,貸店舗・事務所(一部) 近藤第２ビル 3F,(貸店舗（テナント）)近藤第２ビル 3Fの物件情報,2 万円,"3,000円",3ヶ月/なし,なし,高松琴平電鉄琴平線 / 瓦町駅 徒歩3分,香川県高松市常磐町２丁目,1981年1月(築45年6ヶ月),27.25㎡,8.24坪／0.2427万円,高松琴平電鉄長尾線 / 瓦町駅 徒歩3分 高松琴平電鉄志度線 / 瓦町駅 徒歩6分,貸店舗・事務所(一部),2万円,なし,-,-,-,-,"加入要　/　2年間　15,000円",-,0.2427万円,近藤第２ビル 3F,飲食店可　１フロア１テナント　角部屋　最上階　保証人不要,都市ガス　トイレ,賃貸保証等：加入要 興和アシスト　賃料の５０％,8.24坪,公簿 36.34㎡,3階建/3階,鉄骨造,なし,なし,なし,北4.0m 公道 接面3.3m,商業地域,-,2年,空,-,即時,-,6982162763,2026/04/03,2026/06/26,5.5％,4.4％,3.3％,,,34.3375186,134.0511328
エムクレア,貸店舗,ソウゲンビル 5階南,https://www.mcrea.jp/kasi-tenpo/detail-69cf5e9d3e48c96bbe22d527/,https://www.mcrea.jp/kasi-tenpo/kagawa/result/takamatsu-city.html,1,エムクレア,貸店舗,data\html\mcrea\detail\kasi-tenpo_detail-69cf5e9d3e48c96bbe22d527.html,貸店舗（一部） ソウゲンビル 5階南,(貸店舗（テナント）)ソウゲンビル 5階南の物件情報,2.53 万円,"7,700円",3ヶ月/なし,なし,高松琴平電鉄琴平線 / 瓦町駅 徒歩10分,香川県高松市鍛冶屋町,1991年8月(築34年11ヶ月),16.00㎡,4.83坪／0.5228万円,高松琴平電鉄琴平線 / 片原町駅 徒歩11分 高松琴平電鉄琴平線 / 高松築港駅 徒歩12分,貸店舗（一部）,2.53万円,-,-,-,-,-,加入要　/　火災保険,-,0.5228万円,ソウゲンビル 5階南,24時間利用可　土日・祝日利用可　飲食店可,エレベーター　エアコン,賃貸保証等：加入要 全保連に加入要,4.83坪,-,5階建/5階,ＲＣ,なし,なし,なし,-,-,-,2年,空,-,即時,-,6990182544,2026/04/03,2026/07/03,5.5％,4.4％,3.3％,,,34.3428604,134.0487343
エムクレア,貸店舗,クイーンズスクエア第２ビル 5－D,https://www.mcrea.jp/kasi-tenpo/detail-5558977c42494231d07c6e16/,https://www.mcrea.jp/kasi-tenpo/kagawa/result/takamatsu-city.html,1,エムクレア,貸店舗,data\html\mcrea\detail\kasi-tenpo_detail-5558977c42494231d07c6e16.html,貸店舗（一部） クイーンズスクエア第２ビル 5－D,(貸店舗（テナント）)クイーンズスクエア第２ビル 5－Dの物件情報,3.3 万円,"7,700円",3ヶ月/なし,なし,高松琴平電鉄琴平線 / 瓦町駅 徒歩6分,香川県高松市瓦町１丁目,1990年4月(築36年3ヶ月),18.96㎡,5.73坪／0.5754万円,-,貸店舗（一部）,3.3万円,-,-,-,-,-,-,-,0.5754万円,クイーンズスクエア第２ビル 5－D,24時間利用可　飲食店可,冷蔵庫　エレベーター　トイレ,保証人不要,5.73坪,-,7階建/5階,ＳＲＣ,-,-,-,-,商業地域,-,2年,完成済,-,即時,-,6955264462,2026/02/05,2026/06/26,5.5％,4.4％,3.3％,,,34.3178937,133.8417036
エムクレア,貸店舗,クイ－ンズスケア第一 ５階Ｇ,https://www.mcrea.jp/kasi-tenpo/detail-5ae18c079732ec4a1d17c2d6/,https://www.mcrea.jp/kasi-tenpo/kagawa/result/takamatsu-city.html,1,エムクレア,貸店舗,data\html\mcrea\detail\kasi-tenpo_detail-5ae18c079732ec4a1d17c2d6.html,貸店舗（一部） クイ－ンズスケア第一 ５階Ｇ,(貸店舗（テナント）)クイ－ンズスケア第一 ５階Ｇの物件情報,3.96 万円,"12,100円",2ヶ月/なし,3.96万円,高松琴平電鉄琴平線 / 瓦町駅 徒歩5分,香川県高松市瓦町２丁目,1984年10月(築41年9ヶ月),21.07㎡,6.37坪／0.6214万円,-,貸店舗（一部）,3.96万円,-,-,-,-,-,加入要　/　火災保険　2年間,-,0.6214万円,クイ－ンズスケア第一 ５階Ｇ,飲食店可,-,賃貸保証等：加入要 全保連・興和アシスト　プラン有,6.37坪,-,6階建/5階,ＲＣ,なし,-,-,-,-,-,2年,空,-,相談,-,6965673749,2025/01/10,2026/06/23,5.5％,4.4％,3.3％,,,34.3400205,134.0501426
エムクレア,貸店舗,クイーンズスクエア第２ビル 3-C,https://www.mcrea.jp/kasi-tenpo/detail-5558977d4249410557f3b317/,https://www.mcrea.jp/kasi-tenpo/kagawa/result/takamatsu-city.html,1,エムクレア,貸店舗,data\html\mcrea\detail\kasi-tenpo_detail-5558977d4249410557f3b317.html,貸店舗（一部） クイーンズスクエア第２ビル 3-C,(貸店舗（テナント）)クイーンズスクエア第２ビル 3-Cの物件情報,4.4 万円,"7,700円",3ヶ月/なし,なし,高松琴平電鉄琴平線 / 瓦町駅 徒歩6分,香川県高松市瓦町１丁目,1990年4月(築36年3ヶ月),22.47㎡,6.79坪／0.6474万円,-,貸店舗（一部）,4.4万円,-,-,-,-,-,-,-,0.6474万円,クイーンズスクエア第２ビル 3-C,24時間利用可　飲食店可　角部屋　保証人不要,エレベーター　トイレ,保証人不要,6.79坪,-,7階建/3階,ＳＲＣ,-,-,-,-,-,-,2年,空,-,即時,なし,6955377274,2026/02/05,2026/06/26,5.5％,4.4％,3.3％,,,34.3178937,133.8417036
エムクレア,貸店舗,宮脇町ビル 東,https://www.mcrea.jp/kasi-tenpo/detail-67c006c873b679516875e115/,https://www.mcrea.jp/kasi-tenpo/kagawa/result/takamatsu-city.html,1,エムクレア,貸店舗,data\html\mcrea\detail\kasi-tenpo_detail-67c006c873b679516875e115.html,貸店舗（一部） 宮脇町ビル 東,(貸店舗（テナント）)宮脇町ビル 東の物件情報,4.5 万円,なし,6ヶ月/なし,なし,ＪＲ高徳線 / 栗林公園北口駅 徒歩11分,香川県高松市宮脇町１丁目,1980年8月(築45年11ヶ月),44.19㎡,13.36坪／0.3367万円,-,貸店舗（一部）,4.5万円,なし,-,-,-,-,加入要　/　店舗総合保険,-,0.3367万円,宮脇町ビル 東,飲食店可,トイレ,賃貸保証等：加入要 興和アシスト、ＵＳＥＮ　等,13.36坪,-,2階建/1階,鉄骨造,なし,-,-,-,-,-,3年,空,-,相談,なし,6985381940,2025/02/28,2026/07/01,5.5％,4.4％,3.3％,,,34.3448764,134.0348642
エムクレア,貸店舗,飲食店募集　ウイングポート　１Ｆ　２０．７３㎡ 1階一部,https://www.mcrea.jp/kasi-tenpo/detail-6628b3b9d9cbec77c6d93594/,https://www.mcrea.jp/kasi-tenpo/kagawa/result/takamatsu-city.html,1,エムクレア,貸店舗,data\html\mcrea\detail\kasi-tenpo_detail-6628b3b9d9cbec77c6d93594.html,貸店舗（一部） 飲食店募集　ウイングポート　１Ｆ　２０．７３㎡ 1階一部,(貸店舗（テナント）)飲食店募集　ウイングポート　１Ｆ　２０．７３㎡ 1階一部の物件情報,5 万円,なし,2ヶ月/なし,1ヶ月,高松琴平電鉄琴平線 / 空港通り駅 徒歩29分,香川県高松市香川町大野,1996年11月(築29年8ヶ月),20.73㎡,6.27坪／0.7974万円,-,貸店舗（一部）,5万円,-,-,-,-,"２００Ｖ電気使用料（動力）：11,000円/月",加入要　/　ジャパン少額短期保険保険　2年間,-,0.7974万円,飲食店募集　ウイングポート　１Ｆ　２０．７３㎡ 1階一部,スケルトン　土曜日利用可　土日・祝日利用可　飲食店可　大型トラック搬入可　駐車場３台分以上　24時間セキュリティー　耐震構造(新耐震基準)　天井高２.５ｍ以上　バリアフリー　保証人不要　国道沿いに面する,荷積みスペース　無線ＬＡＮ　男女別トイレ　施設内貸会議室　防犯カメラ　敷地内ＡＥＤ有　エレベーター２基以上　エレベーター　人荷用エレベーター　車寄せスペース　ビルトインエアコン　火災警報器（報知機）　インターネット対応　障がい者等用駐車場　内廊下,賃貸保証等：加入要 カーサ賃貸保証、参考賃料１ヵ月 他所在地：ウイングポートショッピングセンター1階一部 ＩＴ重説対応物件 商業施設内フードコート 飲食店 歓迎ジャンル【定食・丼物・うどん・ラーメン・おでん・お好み焼き】 客席スペース使用料　約８０席,6.27坪,-,2階建/1階,鉄骨造,有　無料,有　無料,有　無料,-,-,-,3年,空,-,即時,なし,6982169493,2026/04/05,2026/06/28,5.5％,4.4％,3.3％,可,,34.2679345,134.0181254
エムクレア,貸店舗,クイーンズスクエア第２ビル 5-C,https://www.mcrea.jp/kasi-tenpo/detail-5558977d4249410557f7b317/,https://www.mcrea.jp/kasi-tenpo/kagawa/result/takamatsu-city.html,1,エムクレア,貸店舗,data\html\mcrea\detail\kasi-tenpo_detail-5558977d4249410557f7b317.html,貸店舗（一部） クイーンズスクエア第２ビル 5-C,(貸店舗（テナント）)クイーンズスクエア第２ビル 5-Cの物件情報,5 万円,"7,700円",1ヶ月/なし,なし,高松琴平電鉄琴平線 / 瓦町駅 徒歩6分,香川県高松市瓦町１丁目,1990年4月(築36年3ヶ月),26.69㎡,8.07坪／0.6193万円,-,貸店舗（一部）,5万円,-,-,-,-,-,-,-,0.6193万円,クイーンズスクエア第２ビル 5-C,飲食店可,エレベーター　トイレ,保証人不要！,8.07坪,-,7階建/5階,ＨＰＣ,-,-,-,-,商業地域,-,2年,完成済,-,即時,なし,6955377620,2026/03/19,2026/07/02,5.5％,4.4％,3.3％,,,34.3178937,133.8417036
エムクレア,貸店舗,クイーンズスクエア第２ビル 3-B,https://www.mcrea.jp/kasi-tenpo/detail-555b55d54249423b71542600/,https://www.mcrea.jp/kasi-tenpo/kagawa/result/takamatsu-city.html,1,エムクレア,貸店舗,data\html\mcrea\detail\kasi-tenpo_detail-555b55d54249423b71542600.html,貸店舗（一部） クイーンズスクエア第２ビル 3-B,(貸店舗（テナント）)クイーンズスクエア第２ビル 3-Bの物件情報,5.28 万円,"7,700円",3ヶ月/なし,なし,高松琴平電鉄琴平線 / 瓦町駅 徒歩6分,香川県高松市瓦町１丁目,1990年4月(築36年3ヶ月),24.70㎡,7.47坪／0.7067万円,-,貸店舗（一部）,5.28万円,-,-,-,-,-,-,-,0.7067万円,クイーンズスクエア第２ビル 3-B,24時間利用可　飲食店可　保証人不要,エレベーター　トイレ,,7.47坪,-,7階建/3階,ＳＲＣ,-,-,-,-,-,-,2年,空,-,即時,なし,6955376839,2026/02/05,2026/06/26,5.5％,4.4％,3.3％,,,34.3178937,133.8417036
エムクレア,貸店舗,クイーンズスクエア第２ 7-B,https://www.mcrea.jp/kasi-tenpo/detail-5558977d4249410557f8b317/,https://www.mcrea.jp/kasi-tenpo/kagawa/result/takamatsu-city.html,1,エムクレア,貸店舗,data\html\mcrea\detail\kasi-tenpo_detail-5558977d4249410557f8b317.html,貸店舗（一部） クイーンズスクエア第２ 7-B,(貸店舗（テナント）)クイーンズスクエア第２ 7-Bの物件情報,5.5 万円,"7,700円",3ヶ月/なし,なし,高松琴平電鉄琴平線 / 瓦町駅 徒歩6分,香川県高松市瓦町１丁目,1990年4月(築36年3ヶ月),31.57㎡,9.54坪／0.576万円,-,貸店舗（一部）,5.5万円,-,-,-,-,-,-,-,0.576万円,クイーンズスクエア第２ 7-B,24時間利用可　飲食店可　保証人不要,エレベーター　トイレ,,9.54坪,-,7階建/7階,ＳＲＣ,-,-,-,-,商業地域,-,2年,完成済,-,即時,なし,6955377668,2026/02/05,2026/06/26,5.5％,4.4％,3.3％,,,34.3178937,133.8417036
