article_id,賃料,敷金 / 保証金,交通,所在地,築年月,その他交通,物件種目,敷金/保証金,敷引,その他一時金,維持費等,権利金,建物名・部屋番号,特記事項,設備,備考,使用部分面積,土地面積,建階/ 階,駐車場,駐輪場,用途地域,契約期間,条件等,更新料,物件番号,情報公開日,飲食店可否,適格請求書発行,リフォーム履歴,リノベーション履歴
55588e3142494231b8305814,15.07万円,1ヶ月/なし,【バス】 田中 停歩1分,香川県高松市成合町,1991年10月(築34年9ヶ月),-,貸店舗・事務所(一部),1ヶ月/なし,-,-,"ごみ処理：1,000円/月",-,新井ビル,飲食店不可,-,賃貸保証等：加入要 全保連・興和アシスト等　保証会社プラン有 Ｐ２台込 トイレ洋式に変更済,98.41㎡,-,2階建/1階,有　無料　　備考：２台込・３台目から１台につき￥４，０００,-,-,2年,-,-,3632279301,2024/10/04,不可,,,
5558977b424941747cdcc717,33万円,3ヶ月/なし,ＪＲ高徳線 / 栗林駅 徒歩6分,香川県高松市藤塚町２丁目,1989年6月(築37年1ヶ月),高松琴平電鉄琴平線 / 栗林公園駅 徒歩8分,貸店舗（一部）,3ヶ月/なし,-,-,-,-,エーワン藤塚ビル　１階駐車場・倉庫　２階・３階事務所,-,収納スペース　トイレ,保証人なし！！,223.89㎡,公簿 262.88㎡,3階建/1～3階,-,-,近隣商業,2年,-,-,6956305064,2026/02/05,不明,,,
5558977c42494231d07c6e16,3.3万円,3ヶ月/なし,高松琴平電鉄琴平線 / 瓦町駅 徒歩6分,香川県高松市瓦町１丁目,1990年4月(築36年3ヶ月),-,貸店舗（一部）,3ヶ月/なし,-,-,-,-,クイーンズスクエア第２ビル 5－D,24時間利用可　飲食店可,冷蔵庫　エレベーター　トイレ,保証人不要,18.96㎡,-,7階建/5階,-,-,商業地域,2年,-,-,6955264462,2026/02/05,可,,,
5558977d424941055700b417,49.5万円,3ヶ月/なし,高松琴平電鉄琴平線 / 瓦町駅 徒歩6分,香川県高松市瓦町２丁目,1977年5月(築49年2ヶ月),高松琴平電鉄琴平線 / 片原町駅 徒歩12分,貸店舗（一部）,3ヶ月/なし,なし,-,-,-,カーラビル １F,スケルトン　24時間利用可　土曜日利用可　飲食店可,エアコン２台以上　プロパンガス　動力あり,,124.54㎡,-,6階建/1階,-,-,商業地域,2年,-,-,6955739633,2026/05/19,可,,,
5558977d424941055706b417,16.5万円,1ヶ月/なし,高松琴平電鉄琴平線 / 瓦町駅 徒歩6分,香川県高松市古馬場町,1973年1月(築53年6ヶ月),高松琴平電鉄志度線 / 瓦町駅 徒歩5分,貸店舗（一部）,1ヶ月/なし,なし,-,-,-,シャトー古馬場　２階,居抜き　24時間利用可　飲食店可,男女別トイレ　エレベーター　エアコン　トイレ,保証人不要！,65.91㎡,-,6階建/2階,-,-,商業地域,2年,-,-,6956189401,2026/03/05,可,,,
5558977d4249410557f3b317,4.4万円,3ヶ月/なし,高松琴平電鉄琴平線 / 瓦町駅 徒歩6分,香川県高松市瓦町１丁目,1990年4月(築36年3ヶ月),-,貸店舗（一部）,3ヶ月/なし,-,-,-,-,クイーンズスクエア第２ビル 3-C,24時間利用可　飲食店可　角部屋　保証人不要,エレベーター　トイレ,保証人不要,22.47㎡,-,7階建/3階,-,-,-,2年,-,なし,6955377274,2026/02/05,可,,,
5558977d4249410557f6b317,6.05万円,3ヶ月/なし,高松琴平電鉄琴平線 / 瓦町駅 徒歩6分,香川県高松市瓦町１丁目,1990年4月(築36年3ヶ月),-,貸店舗（一部）,3ヶ月/なし,-,-,-,-,クイーンズスクエア第２ 5-B,24時間利用可　飲食店可　保証人不要,収納スペース　エレベーター　動力あり　エアコン　トイレ,,32.32㎡,-,7階建/5階,-,-,商業地域,2年,-,なし,6955377543,2026/02/05,可,,,
5558977d4249410557f7b317,5万円,1ヶ月/なし,高松琴平電鉄琴平線 / 瓦町駅 徒歩6分,香川県高松市瓦町１丁目,1990年4月(築36年3ヶ月),-,貸店舗（一部）,1ヶ月/なし,-,-,-,-,クイーンズスクエア第２ビル 5-C,飲食店可,エレベーター　トイレ,保証人不要！,26.69㎡,-,7階建/5階,-,-,商業地域,2年,-,なし,6955377620,2026/03/19,可,,,
5558977d4249410557f8b317,5.5万円,3ヶ月/なし,高松琴平電鉄琴平線 / 瓦町駅 徒歩6分,香川県高松市瓦町１丁目,1990年4月(築36年3ヶ月),-,貸店舗（一部）,3ヶ月/なし,-,-,-,-,クイーンズスクエア第２ 7-B,24時間利用可　飲食店可　保証人不要,エレベーター　トイレ,,31.57㎡,-,7階建/7階,-,-,商業地域,2年,-,なし,6955377668,2026/02/05,可,,,
555897844249423ff8c68216,13万円,2ヶ月/なし,ＪＲ高徳線 / 屋島駅 徒歩7分,香川県高松市屋島西町,1973年4月(築53年3ヶ月),-,貸店舗・事務所(一部),2ヶ月/なし,なし,-,-,-,-,24時間利用可　角部屋,エレベーター　ビルトインエアコン　トイレ,,133.70㎡,-,6階建/2階,有　無料　　備考：駐車場２台込,-,-,3年,-,なし,6954723413,2026/04/13,不明,,,
555897fe42494105814fab17,53.96万円,6ヶ月/なし,高松琴平電鉄琴平線 / 瓦町駅 徒歩5分,香川県高松市亀井町,1983年10月(築42年9ヶ月),-,貸店舗（一部）,6ヶ月/なし,-,-,-,-,ソレイユ第一ビル 202,飲食店可,エレベーター,賃貸保証等：加入要 興和アシスト株式会社　全保連株式会社　等 亀井町　田町交番近く　２Ｆ　約９８．１１坪 スケルトン　飲食店可,324.36㎡,-,地上5階地下1階建/2階,なし,-,-,3年,-,-,6933361901,2020/08/17,可,,,
555b55d54249423b71542600,5.28万円,3ヶ月/なし,高松琴平電鉄琴平線 / 瓦町駅 徒歩6分,香川県高松市瓦町１丁目,1990年4月(築36年3ヶ月),-,貸店舗（一部）,3ヶ月/なし,-,-,-,-,クイーンズスクエア第２ビル 3-B,24時間利用可　飲食店可　保証人不要,エレベーター　トイレ,,24.70㎡,-,7階建/3階,-,-,-,2年,-,なし,6955376839,2026/02/05,可,,,
