article_id,name,detail_url,page_no,source_site,list_text,賃料,敷金 / 保証金,交通,所在地,築年月,その他交通,物件種目,敷金/保証金,敷引,その他一時金,維持費等,権利金,建物名・部屋番号,特記事項,設備,備考,使用部分面積,土地面積,建階/ 階,駐車場,駐輪場,用途地域,契約期間,条件等,更新料,物件番号,情報公開日,飲食店可否,適格請求書発行,リフォーム履歴,リノベーション履歴,latitude,longitude
66279c9acfabdb482d0d0275,近藤第２ビル 3F,https://www.takamatsuhousing.jp/kasi-tenpo/detail-66279c9acfabdb482d0d0275/,1,takamatsu_housing,"近藤第２ビル 3F 高松琴平電鉄琴平線 / 瓦町駅 高松市常磐町２丁目 徒歩3分 2 万円 3,000円 3ヶ月/ なし/ なし 27.25㎡ 8.24坪／0.2427万円 貸店舗・事務所(一部) 1981年1月(築45年6ヶ月) 物件詳細を見る お気に入り登録 お問い合わせをする",2万円,3ヶ月/なし,高松琴平電鉄琴平線 / 瓦町駅 徒歩3分,香川県高松市常磐町２丁目,1981年1月(築45年6ヶ月),高松琴平電鉄長尾線 / 瓦町駅 徒歩3分 高松琴平電鉄志度線 / 瓦町駅 徒歩6分,貸店舗・事務所(一部),3ヶ月/なし,なし,-,-,-,近藤第２ビル 3F,飲食店可　１フロア１テナント　角部屋　最上階　保証人不要,都市ガス　トイレ,賃貸保証等：加入要 興和アシスト　賃料の５０％,27.25㎡,公簿 36.34㎡,3階建/3階,なし,なし,商業地域,2年,-,-,6982162763,2026/04/03,可,,,,34.3375186,134.0511328
69cf5e9d3e48c96bbe22d527,ソウゲンビル 5階南,https://www.takamatsuhousing.jp/kasi-tenpo/detail-69cf5e9d3e48c96bbe22d527/,1,takamatsu_housing,"ソウゲンビル 5階南 高松琴平電鉄琴平線 / 瓦町駅 高松市鍛冶屋町 徒歩10分 2.53 万円 7,700円 3ヶ月/ なし/ なし 16.00㎡ 4.83坪／0.5228万円 貸店舗（一部） 1991年8月(築34年11ヶ月) 物件詳細を見る お気に入り登録 お問い合わせをする",2.53万円,3ヶ月/なし,高松琴平電鉄琴平線 / 瓦町駅 徒歩10分,香川県高松市鍛冶屋町,1991年8月(築34年11ヶ月),高松琴平電鉄琴平線 / 片原町駅 徒歩11分 高松琴平電鉄琴平線 / 高松築港駅 徒歩12分,貸店舗（一部）,3ヶ月/なし,-,-,-,-,ソウゲンビル 5階南,24時間利用可　土日・祝日利用可　飲食店可,エレベーター　エアコン,賃貸保証等：加入要 全保連に加入要,16.00㎡,-,5階建/5階,なし,なし,-,2年,-,-,6990182544,2026/04/03,可,,,,34.3428604,134.0487343
5558977c42494231d07c6e16,クイーンズスクエア第２ビル 5－D,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977c42494231d07c6e16/,1,takamatsu_housing,"クイーンズスクエア第２ビル 5－D 高松琴平電鉄琴平線 / 瓦町駅 高松市瓦町１丁目 徒歩6分 3.3 万円 7,700円 3ヶ月/ なし/ なし 18.96㎡ 5.73坪／0.5754万円 貸店舗（一部） 1990年4月(築36年3ヶ月) 物件詳細を見る お気に入り登録 お問い合わせをする",3.3万円,3ヶ月/なし,高松琴平電鉄琴平線 / 瓦町駅 徒歩6分,香川県高松市瓦町１丁目,1990年4月(築36年3ヶ月),-,貸店舗（一部）,3ヶ月/なし,-,-,-,-,クイーンズスクエア第２ビル 5－D,24時間利用可　飲食店可,冷蔵庫　エレベーター　トイレ,保証人不要,18.96㎡,-,7階建/5階,-,-,商業地域,2年,-,-,6955264462,2026/02/05,可,,,,34.3412277,134.051584
6926a443aa781f981629c2d9,ＡＫビル鍛冶屋町Ⅱ １Ｆ,https://www.takamatsuhousing.jp/kasi-tenpo/detail-6926a443aa781f981629c2d9/,1,takamatsu_housing,ＡＫビル鍛冶屋町Ⅱ １Ｆ 高松琴平電鉄琴平線 / 片原町駅 高松市鍛冶屋町 徒歩10分 3.85 万円 - 6ヶ月/ なし/ なし 13.68㎡ 4.13坪／0.9304万円 貸店舗（一部） 1988年10月(築37年9ヶ月) 物件詳細を見る お気に入り登録 お問い合わせをする,3.85万円,6ヶ月/なし,高松琴平電鉄琴平線 / 片原町駅 徒歩10分,香川県高松市鍛冶屋町,1988年10月(築37年9ヶ月),-,貸店舗（一部）,6ヶ月/なし,なし,-,-,-,ＡＫビル鍛冶屋町Ⅱ １Ｆ,飲食店不可,-,ＡＫビル鍛冶屋町Ⅱ　１Ｆ　４．１３坪　トイレなし　【おすすめの使用方法】倉庫・無人販売所・アトリエ・周辺店舗の従業員向け休憩室・Ⅰ人専用ワー クスペース・自習室,13.68㎡,-,6階建/1階,-,-,-,3年,-,なし,6988524560,2025/11/26,不可,,,,34.3428604,134.0487343
5ae18c079732ec4a1d17c2d6,クイ－ンズスケア第一 ５階Ｇ,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5ae18c079732ec4a1d17c2d6/,1,takamatsu_housing,"クイ－ンズスケア第一 ５階Ｇ 高松琴平電鉄琴平線 / 瓦町駅 高松市瓦町２丁目 徒歩5分 3.96 万円 12,100円 2ヶ月/ なし/ 3.96万円 21.07㎡ 6.37坪／0.6214万円 貸店舗（一部） 1984年10月(築41年9ヶ月) 物件詳細を見る お気に入り登録 お問い合わせをする",3.96万円,2ヶ月/なし,高松琴平電鉄琴平線 / 瓦町駅 徒歩5分,香川県高松市瓦町２丁目,1984年10月(築41年9ヶ月),-,貸店舗（一部）,2ヶ月/なし,-,-,-,-,クイ－ンズスケア第一 ５階Ｇ,飲食店可,-,賃貸保証等：加入要 全保連・興和アシスト　プラン有,21.07㎡,-,6階建/5階,なし,-,-,2年,-,-,6965673749,2025/01/10,可,,,,34.3399504,134.0514047
68363e5e5de080734497111d,スモールショップ　中央南側 ２階一部,https://www.takamatsuhousing.jp/kasi-tenpo/detail-68363e5e5de080734497111d/,1,takamatsu_housing,スモールショップ　中央南側 ２階一部 高松琴平電鉄琴平線 / 空港通り駅 高松市香川町大野 徒歩29分 4 万円 なし 2ヶ月/ なし/ 1ヶ月 19.00㎡ 5.74坪／0.696万円 貸店舗・事務所(一部) 1996年11月(築29年8ヶ月) 物件詳細を見る お気に入り登録 お問い合わせをする,4万円,2ヶ月/なし,高松琴平電鉄琴平線 / 空港通り駅 徒歩29分,香川県高松市香川町大野,1996年11月(築29年8ヶ月),-,貸店舗・事務所(一部),2ヶ月/なし,-,-,-,-,スモールショップ　中央南側 ２階一部,土日・祝日利用可　大型トラック搬入可　24時間セキュリティー　天井高２.５ｍ以上　バリアフリー　保証人不要,荷積みスペース　無線ＬＡＮ　男女別トイレ　施設内貸会議室　防犯カメラ　敷地内ＡＥＤ有　エレベーター２基以上　エレベーター　人荷用エレベーター　車寄せスペース　ビルトインエアコン　火災警報器（報知機）　インターネット対応　トイレ２ヶ所　トイレ　障がい者等用駐車場,賃貸保証等：加入要 カーサ家賃保証、参考賃料１ヵ月 他所在地：ウイングポートショッピングセンター２階一部 ＩＴ重説対応物件 法人登記可能、車庫証明 可能、 本物件は５．７４坪ですが、ほかに２４．８坪もあります。 区画壁は貸主負担、リースライン部壁出入口は借主負担 ２階隣接び香川町商工会議所あり １階ＡＴＭあり 共用ｗｉｆｉ以外なら専用光電話回線引き込みＯＫ,19.00㎡,-,2階建/2階,有　無料,有　無料,-,3年,-,なし,6986459231,2026/02/23,不明,可,,,34.2664945,134.0255298
5558977d4249410557f3b317,クイーンズスクエア第２ビル 3-C,https://www.takamatsuhousing.jp/kasi-tenpo/detail-5558977d4249410557f3b317/,1,takamatsu_housing,"クイーンズスクエア第２ビル 3-C 高松琴平電鉄琴平線 / 瓦町駅 高松市瓦町１丁目 徒歩6分 4.4 万円 7,700円 3ヶ月/ なし/ なし 22.47㎡ 6.79坪／0.6474万円 貸店舗（一部） 1990年4月(築36年3ヶ月) 物件詳細を見る お気に入り登録 お問い合わせをする",4.4万円,3ヶ月/なし,高松琴平電鉄琴平線 / 瓦町駅 徒歩6分,香川県高松市瓦町１丁目,1990年4月(築36年3ヶ月),-,貸店舗（一部）,3ヶ月/なし,-,-,-,-,クイーンズスクエア第２ビル 3-C,24時間利用可　飲食店可　角部屋　保証人不要,エレベーター　トイレ,保証人不要,22.47㎡,-,7階建/3階,-,-,-,2年,-,なし,6955377274,2026/02/05,可,,,,34.3412277,134.051584
6663fef91bce1051d51b1864,牟礼町牟礼　戸建　２Ｆ和室一部 2F,https://www.takamatsuhousing.jp/kasi-tenpo/detail-6663fef91bce1051d51b1864/,1,takamatsu_housing,牟礼町牟礼　戸建　２Ｆ和室一部 2F パノラマ 高松琴平電鉄志度線 / 八栗駅 高松市牟礼町牟礼 徒歩3分 4.4 万円 - 2ヶ月/ なし/ 1ヶ月 107.05㎡ 32.38坪／0.1359万円 貸店舗・事務所(一部) 1966年1月(築60年6ヶ月) 物件詳細を見る お気に入り登録 お問い合わせをする,4.4万円,2ヶ月/なし,高松琴平電鉄志度線 / 八栗駅 徒歩3分,香川県高松市牟礼町牟礼,1966年1月(築60年6ヶ月),-,貸店舗・事務所(一部),2ヶ月/なし,-,-,-,-,牟礼町牟礼　戸建　２Ｆ和室一部 2F,スケルトン　駐車場２台分,インターネット使用料無料　トイレ,賃貸保証等：加入要 日本セーフティー株式会社 敷地内に建物２棟（登記上連結）あり、掲載面積・構造はうちの一部となります。,107.05㎡,公簿 291.54㎡,2階建/2階,有　無料　空き2台　　備考：駐車場料：家賃に含む。,-,-,2年,-,なし,6982589959,2026/05/11,不明,,,,34.3493325,134.133009
67c006c873b679516875e115,宮脇町ビル 東,https://www.takamatsuhousing.jp/kasi-tenpo/detail-67c006c873b679516875e115/,1,takamatsu_housing,宮脇町ビル 東 ＪＲ高徳線 / 栗林公園北口駅 高松市宮脇町１丁目 徒歩11分 4.5 万円 なし 6ヶ月/ なし/ なし 44.19㎡ 13.36坪／0.3367万円 貸店舗（一部） 1980年8月(築45年11ヶ月) 物件詳細を見る お気に入り登録 お問い合わせをする,4.5万円,6ヶ月/なし,ＪＲ高徳線 / 栗林公園北口駅 徒歩11分,香川県高松市宮脇町１丁目,1980年8月(築45年11ヶ月),-,貸店舗（一部）,6ヶ月/なし,なし,-,-,-,宮脇町ビル 東,飲食店可,トイレ,賃貸保証等：加入要 興和アシスト、ＵＳＥＮ　等,44.19㎡,-,2階建/1階,なし,-,-,3年,-,なし,6985381940,2025/02/28,可,,,,34.3382366,134.0359162
6628b3b9d9cbec77c6d93594,飲食店募集　ウイングポート　１Ｆ　２０．７３㎡ 1階一部,https://www.takamatsuhousing.jp/kasi-tenpo/detail-6628b3b9d9cbec77c6d93594/,1,takamatsu_housing,飲食店募集　ウイングポート　１Ｆ　２０．７３㎡ 1階一部 高松琴平電鉄琴平線 / 空港通り駅 高松市香川町大野 徒歩29分 5 万円 なし 2ヶ月/ なし/ 1ヶ月 20.73㎡ 6.27坪／0.7974万円 貸店舗（一部） 1996年11月(築29年8ヶ月) 物件詳細を見る お気に入り登録 お問い合わせをする,5万円,2ヶ月/なし,高松琴平電鉄琴平線 / 空港通り駅 徒歩29分,香川県高松市香川町大野,1996年11月(築29年8ヶ月),-,貸店舗（一部）,2ヶ月/なし,-,-,"２００Ｖ電気使用料（動力）：11,000円/月",-,飲食店募集　ウイングポート　１Ｆ　２０．７３㎡ 1階一部,スケルトン　土曜日利用可　土日・祝日利用可　飲食店可　大型トラック搬入可　駐車場３台分以上　24時間セキュリティー　耐震構造(新耐震基準)　天井高２.５ｍ以上　バリアフリー　保証人不要　国道沿いに面する,荷積みスペース　無線ＬＡＮ　男女別トイレ　施設内貸会議室　防犯カメラ　敷地内ＡＥＤ有　エレベーター２基以上　エレベーター　人荷用エレベーター　車寄せスペース　ビルトインエアコン　火災警報器（報知機）　インターネット対応　障がい者等用駐車場　内廊下,賃貸保証等：加入要 カーサ賃貸保証、参考賃料１ヵ月 他所在地：ウイングポートショッピングセンター1階一部 ＩＴ重説対応物件 商業施設内フードコート 飲食店 歓迎ジャンル【定食・丼物・うどん・ラーメン・おでん・お好み焼き】 客席スペース使用料　約８０席,20.73㎡,-,2階建/1階,有　無料,有　無料,-,3年,-,なし,6982169493,2026/04/05,可,可,,,34.2664945,134.0255298
