article_id,name,address,rent_fee,contract_area,detail_url,source_site,物件名,賃　料,面　積,共益費・管理費,所在地,アクセス1,アクセス2,物件番号,店舗形態,オススメ業種,物件の状態,引越し時期,契約形態と期間,交　通1,交　通2,敷　金,精算方法,備考,建物構造,建物階建て,施工年月,募集物件の階数,契約面積,用途地域,水道,下水道,ガス,エレベータ,エアコン,トイレ,給湯室,キッチン,ネット環境,セキュリティ,利用時間,シャッター,照明設備,内装業者指定,状　況,駐車料金,空き台数,取引態様,客付,床仕様,分割利用,礼　金,その他月額費用 1,敷地面積
2636,西高松第2メディカルビル,高松市郷東町-148-3,"550,000",226m<sup>2</sup><br />（68.37坪）,https://www.tenantkagawa.com/article/search/00002636,tenant_kagawa,西高松第2メディカルビル,賃料未定,226m 2 （68.37坪）,"55,000円（税込）",香川県高松市郷東町-148-3,JR予讃線香西駅　徒歩14,-,4487,"事務所, , 店舗",医療関係,空き,即,普通契約期間：3年間,JR予讃線香西駅　徒歩14,-,10ヶ月,実費,"■ゴミ回収は各自業者手配■鍵交換費用別途■看板、サイン工事は借主負担■仲介手数料：賃料1か月分■賃貸保証等：加入要（賃料保証会社に加入の事。初年度賃料の100％、2年目以降滞納無しの場合10,000円/年）■解約予告：6カ月前■防火対象物使用開始届出書については借主にて提出■建物用途変更手続きについては借主負担■転貸借契約物件",鉄筋コンクリート造,地上4階,2007（平成19）年 01月,地上 1階  1F東号室号室,226m 2 (68.37坪）,準工業,公営,,LPG,有,有り/個別,有/専用,有/専用,有/専用,無,無,時間制限有,無,有,有,空有,"4,000円（税込）",,媒介,可,CFシート,,,,
2638,ISB店舗1F【今里町】,高松市今里町-2-11-2,"275,000",92.24m<sup>2</sup><br />（27.90坪）,https://www.tenantkagawa.com/article/search/00002638,tenant_kagawa,ISB店舗1F【今里町】,"275,000円（税込）",92.24m 2 （27.90坪）,-,香川県高松市今里町-2-11-2,ことでん長尾線林道駅　徒歩13,-,4494,"店舗, 居抜店舗, ロードサイド","事務所, 美容関係, 物販関係, サービス業",空き,即,普通契約期間：2年間,ことでん長尾線林道駅　徒歩13,-,3ヶ月,実費,"■ゴミ回収は各自業者手配■鍵交換費用別途必要■看板、サイン工事は借主負担■エアコン修理交換は借主負担■仲介手数料：賃料1か月分■賃貸保証等：加入要（賃料保証会社に加入の事。初年度賃料の100％、2年目以降滞納無しの場合10,000円/年）■解約予告：3カ月前■防火対象物使用開始届出書については借主にて提出■建物用途変更手続きについては借主負担",軽量鉄骨,地上2階,2016（平成28）年 09月,地上 1階  1F号室号室,92.24m 2 (27.90坪）,1種住居,公営,公共下水,LPG,無,有り/個別,有/専用,有/専用,有/専用,無,無,24時間,無,有,無,空有無料,,3台,媒介,可,CFシート,,,,
2641,大山テナントビル【中央町】1F,高松市中央町-4-17,"126,500",65m<sup>2</sup><br />（19.66坪）,https://www.tenantkagawa.com/article/search/00002641,tenant_kagawa,大山テナントビル【中央町】1F,"126,500円（税込）",65m 2 （19.66坪）,"3,300円（税込）",香川県高松市中央町-4-17,JR高徳線栗林公園北口駅　徒歩9,-,4499,", 居抜店舗, 店舗（飲食店可）, 路面店舗","美容関係, 物販関係, 事務所, 軽飲食",空き,即,普通契約期間：2年間,JR高徳線栗林公園北口駅　徒歩9,-,2ヶ月,実費,"■ゴミ回収は各自業者手配■鍵交換費用別途■看板、サイン工事は借主負担■仲介手数料：賃料1か月分■賃貸保証等：加入要■店舗総合保険：加入要（賃料保証会社に加入の事。初年度賃料の100％、2年目以降滞納無しの場合10,000円/年）■解約予告：3カ月前■防火対象物使用開始届出書については借主にて提出■建物用途変更手続きについては借主負担",鉄骨造,地上3階,1999（平成11）年 05月,地上 1階  1F号室号室,65m 2 (19.66坪）,,公営,公共下水,,無,有り/個別,有/専用,有/専用,有/専用,無,無,24時間,有/手動,有,無,,,,媒介,可,CFシート,,,,
2642,西山崎貸事務所付き倉庫,高松市西山崎町-892-1,"225,000",246.59m<sup>2</sup><br />（74.59坪）,https://www.tenantkagawa.com/article/search/00002642,tenant_kagawa,西山崎貸事務所付き倉庫,"225,000円（税込）",246.59m 2 （74.59坪）,-,香川県高松市西山崎町-892-1,ことでん琴平線岡本駅　徒歩17,-,4501,", ロードサイド, 一棟貸し, 倉庫付事務所","物販関係, 事務所, サービス業, 倉庫",,即,普通契約期間：3年間,ことでん琴平線岡本駅　徒歩17,-,4ヶ月,実費,"■ゴミ回収は各自業者手配■看板、サイン工事は借主負担■エアコン修理交換は借主負担■浄化槽維持管理は借主負担■仲介手数料：賃料1か月分■賃貸保証等：加入要（賃料保証会社に加入の事。初年度賃料の100％、2年目以降滞納無しの場合10,000円/年）■解約予告：6カ月前■防火対象物使用開始届出書については借主にて提出■建物用途変更手続きについては借主負担",鉄骨造,地上2階,1990（平成2）年 08月,地上 1階  一棟貸号室,246.59m 2 (74.59坪）,2種中高,公営,浄化槽,,無,無,有/共用,無,無,無,無,24時間,有/自動,,無,空有無料,,3台,媒介,可,スケルトン,,,,
2643,ドミール松縄西号【今里町】レインボーエリアテナント,高松市今里町2丁目-30-17,"86,700",39m<sup>2</sup><br />（11.80坪）,https://www.tenantkagawa.com/article/search/00002643,tenant_kagawa,ドミール松縄西号【今里町】レインボーエリアテナント,"86,700円（税込）",39m 2 （11.80坪）,-,香川県高松市今里町2丁目-30-17,ことでん長尾線花園駅　徒歩17,-,4503,"事務所, 店舗","物販関係, 塾・学校・教育関係, 美容関係",空き,2026（令和8）年06月上旬,普通,ことでん長尾線花園駅　徒歩17,-,4ヶ月,実費,"■居抜料(内装売却料)300万円希望■ゴミ回収は各自業者手配■鍵交換費用別途■看板、サイン工事は借主負担■仲介手数料：賃料1か月分■賃貸保証等：加入要（賃料保証会社に加入の事。初年度賃料の100％、2年目以降滞納無しの場合10,000円/年）■解約予告：4カ月前■防火対象物使用開始届出書については借主にて提出■建物用途変更手続きについては借主負担",鉄筋コンクリート造,地上4階,1986（昭和61）年 03月,地上 1階  西号室,39m 2 (11.80坪）,商業地域,公営,公共下水,,無,有り/個別,有/専用,,有/専用,,無,24時間,無,有,無,空有無料,,1台,専任,可,CFシート,,,,
2645,サニープレイス松縄１０２号室【松縄町】レインボーテナント,高松市松縄町-１０３０―６,"198,000",67.72m<sup>2</sup><br />（20.49坪）,https://www.tenantkagawa.com/article/search/00002645,tenant_kagawa,サニープレイス松縄１０２号室【松縄町】レインボーテナント,"198,000円（税込）",67.72m 2 （20.49坪）,-,香川県高松市松縄町-１０３０―６,ことでん琴平線三条駅　徒歩17,-,4507,"事務所, ロードサイド, 倉庫","事務所, サービス業, 塾・学校・教育関係, 物販関係",空き,即,"普通契約期間：2年間15,000円",ことでん琴平線三条駅　徒歩17,-,6ヶ月,実費,"■ｺﾞﾐ回収は各自で業者手配■鍵交換費用別途必要■看板、ｻｲﾝ工事借主実費負担■床暖房故障時の修理は借主負担■現況：事務所
■仲介手数料：賃料1ヶ月分",鉄筋コンクリート造,地上6階   地下1階,1996（平成8）年 01月,地上 103号室,67.72m 2 (20.49坪）,商業地域,公営,公共下水,LPG,,有り/個別,有/専用,有/専用,有/専用,,無,24時間,無,有,無,空有無料,,6台,専任,可,タイルカーペット,,,,
2646,久保木工店舗【檀紙町】テナント,高松市檀紙町-851-6,"330,000",343m<sup>2</sup><br />（103.76坪）,https://www.tenantkagawa.com/article/search/00002646,tenant_kagawa,久保木工店舗【檀紙町】テナント,"330,000円（税込）",343m 2 （103.76坪）,-,香川県高松市檀紙町-851-6,JR予讃線鬼無駅　徒歩35,-,4508,"事務所, 店舗, 一棟貸し, 一棟貸し","塾・学校・教育関係, 物販関係, 事務所, サービス業",空き,相談,普通契約期間：2年間,JR予讃線鬼無駅　徒歩35,-,6ヶ月,実費,■水道代：実費■ゴミ回収は各自業者手配■鍵交換費用別途必要■看板、サイン工事は借主負担■エアコン修理交換は借主負担■仲介手数料：１か月分■賃貸保証等：加入要■店舗総合保険：加入必要■解約予告：3カ月前■防火対象物使用開始届出書については借主負担,鉄骨造,地上1階,1994（平成6）年 04月,地上 1階  1棟貸号室,343m 2 (103.76坪）,指定無,公営,浄化槽,,無,有り/個別,有/専用,無,有/専用,無,無,24時間,無,有,無,空有無料,,13台,媒介,可,CFシート,,,,
2378,大住ビル１Ｆ【田町】商店街テナント,高松市田町-5-7,"99,000",77.92m<sup>2</sup><br />（23.57坪）,https://www.tenantkagawa.com/article/search/00002378,tenant_kagawa,大住ビル１Ｆ【田町】商店街テナント,"99,000円（税込）",77.92m 2 （23.57坪）,-,香川県高松市田町-5-7,ことでん琴平線瓦町駅　徒歩10,-,4013,"店舗, ロードサイド","塾・学校・教育関係, 物販関係, 美容関係, サービス業",空き,即,普通契約期間：2年間,ことでん琴平線瓦町駅　徒歩10,-,3ヶ月,実費,■アーケード町会費別途必要■ゴミの回収は各自で業者手配■鍵交換費用別途必要■看板、サイン工事は借主実費負担■仲介手数料：賃料1ヶ月分（税別）,鉄筋コンクリート造,地上5階,1987（昭和62）年 10月,地上 1階  101号室,77.92m 2 (23.57坪）,,公営,公共下水,,無,,有/専用,,無,,無,,有/手動,無,無,無し,,,専任,可,スケルトン,,,,
2440,ガーデンコート高松２Ｆ【大工町】テナント,高松市大工町7--1,"330,000",124.95m<sup>2</sup><br />（37.80坪）,https://www.tenantkagawa.com/article/search/00002440,tenant_kagawa,ガーデンコート高松２Ｆ【大工町】テナント,"330,000円（税込）",124.95m 2 （37.80坪）,-,香川県高松市大工町7--1,ことでん琴平線片原町駅　徒歩5,-,4102,店舗,"軽飲食, 重飲食",空き,相談,普通契約期間：2年間,ことでん琴平線片原町駅　徒歩5,-,1ヶ月,実費,■礼金：2ヶ月分■ゴミ回収は各自業者手配■鍵交換費用は別途必要・看板、サイン工事は借主負担■エアコン修理交換は借主負担■仲介手数料：賃料1か月分■賃貸保証等：加入要■店舗総合保険：加入要しかく解約予告：3カ月前,鉄筋コンクリート造,地上5階,1991（平成3）年 04月,地上 2階  ２Ｆ号室,124.95m 2 (37.80坪）,,公営,公共下水,都市ガス,有,有,有/専用,無,有/専用,無,無,24時間,無,有,無,無し,,,媒介,可,CFシート,,2ヶ月,,
2238,サニープレイス松縄１０３号室【松縄町】レインボーテナント,高松市松縄町-１０３０―６,"198,000",67.72m<sup>2</sup><br />（20.49坪）,https://www.tenantkagawa.com/article/search/00002238,tenant_kagawa,サニープレイス松縄１０３号室【松縄町】レインボーテナント,"198,000円（税込）",67.72m 2 （20.49坪）,-,香川県高松市松縄町-１０３０―６,ことでん琴平線三条駅　徒歩17,-,3813,"事務所, ロードサイド, 倉庫","事務所, サービス業, 塾・学校・教育関係, 物販関係",空き,即,"普通契約期間：2年間15,000円",ことでん琴平線三条駅　徒歩17,-,6ヶ月,実費,"■ｺﾞﾐ回収は各自で業者手配■鍵交換費用別途必要■看板、ｻｲﾝ工事借主実費負担■床暖房故障時の修理は借主負担■現況：事務所
■仲介手数料：賃料1ヶ月分",鉄筋コンクリート造,地上6階   地下1階,1996（平成8）年 01月,地上 103号室,67.72m 2 (20.49坪）,商業地域,公営,公共下水,LPG,,有り/個別,有/専用,有/専用,有/専用,,無,24時間,無,有,無,空有無料,,6台,専任,可,タイルカーペット,,,,
