supplier_id,name,type,local_or_online,official_url,google_maps_url,main_items,delivery_available,pickup_available,origin_selectable,min_lot,price_level,season_strength,notes
FRT001,高松青果株式会社,中央卸売市場・青果卸,ローカル,https://takamatsuseika.co.jp/about,https://www.google.com/maps/search/?api=1&query=高松青果株式会社,青果全般,要確認,要確認,要確認,業務取引前提,中〜高,通年,"高松市中央卸売市場内の青果卸。外食産業等への販売先記載あり。"
FRT002,高松大一青果株式会社,中央卸売市場・青果卸,ローカル,https://t-daiichiseika.jp/,https://www.google.com/maps/search/?api=1&query=高松大一青果株式会社,青果全般,要確認,要確認,要確認,業務取引前提,中〜高,通年,"高松中央卸売市場系の青果卸候補。"
FRT003,株式会社笠井青果,中央卸売市場・仲卸,ローカル,https://www.kasaiseika.com/,https://www.google.com/maps/search/?api=1&query=株式会社笠井青果 高松市中央卸売市場,高級野菜・青果,可,要確認,要確認,業務取引前提,中〜高,通年,"スーパー・百貨店・飲食店・病院等へ青果物を納品と明記。"
FRT004,株式会社五色青果,中央卸売市場・仲卸,ローカル,https://www.goshiki-seika.co.jp/,https://www.google.com/maps/search/?api=1&query=株式会社五色青果 高松市朝日町,青果・小売用加工・販売,要確認,要確認,要確認,業務取引前提,中〜高,通年,"高松市中央卸売市場内の青果仲卸。通販部門あり。"
FRT005,株式会社フレッシュ,中央卸売市場・仲卸,ローカル,https://seaandsunmarket.com/company/,https://www.google.com/maps/search/?api=1&query=株式会社フレッシュ 高松市中央卸売市場,青果,要確認,要確認,要確認,業務取引前提,中,通年,"高松市中央卸売市場の場内業者一覧に掲載。"
FRT006,丸協青果株式会社,中央卸売市場・仲卸,ローカル,https://www.city.takamatsu.kagawa.jp/smph/kurashi/kurashi/shisetsu/chuoichiba/shoukai/jonaigyosha.html,https://www.google.com/maps/search/?api=1&query=丸協青果株式会社 高松市中央卸売市場,青果,要確認,要確認,要確認,業務取引前提,中,通年,"高松市中央卸売市場の青果部仲卸候補。"
FRT007,有限会社丸二青果,中央卸売市場・仲卸,ローカル,https://www.city.takamatsu.kagawa.jp/smph/kurashi/kurashi/shisetsu/chuoichiba/shoukai/jonaigyosha.html,https://www.google.com/maps/search/?api=1&query=有限会社丸二青果 高松市中央卸売市場,青果,要確認,要確認,要確認,業務取引前提,中,通年,"高松市中央卸売市場の青果部仲卸候補。"
FRT008,有限会社太田青果,中央卸売市場・仲卸,ローカル,https://www.city.takamatsu.kagawa.jp/smph/kurashi/kurashi/shisetsu/chuoichiba/shoukai/jonaigyosha.html,https://www.google.com/maps/search/?api=1&query=有限会社太田青果 高松市中央卸売市場,青果,要確認,要確認,要確認,業務取引前提,中,通年,"高松市中央卸売市場の青果部仲卸候補。"
FRT009,有限会社丸和青果,中央卸売市場・仲卸,ローカル,https://www.city.takamatsu.kagawa.jp/smph/kurashi/kurashi/shisetsu/chuoichiba/shoukai/jonaigyosha.html,https://www.google.com/maps/search/?api=1&query=有限会社丸和青果 高松市中央卸売市場,青果,要確認,要確認,要確認,業務取引前提,中,通年,"高松市中央卸売市場の青果部仲卸候補。"
FRT010,フルーツショップ造田,果物専門店,ローカル,https://www.kagawa-zouda.net/,https://www.google.com/maps/search/?api=1&query=フルーツショップ造田,県産果物・贈答用果物・高品質フルーツ,要確認,可,要確認,少量相談,高,旬果物,"高松市兵庫町の老舗果実専門店。さぬき讃フルーツのマスターショップ。"
FRT011,フルーツ大林,果物専門店,ローカル,https://www.ms-machi.com/shop/obayashi/,https://www.google.com/maps/search/?api=1&query=フルーツ大林 高松市南新町,果物全般,要確認,可,要確認,少量相談,中〜高,旬果物,"高松市南新町の果物店。中心部で買い出ししやすい。"
FRT012,JA香川県 フルーツの里,JA産直,ローカル,https://www.kw-ja.or.jp/shop/shop-8268/,https://www.google.com/maps/search/?api=1&query=JA香川県 フルーツの里,地元果物・柑橘・野菜,不可,可,限定的,少量可,低〜中,旬果物,"高松市鬼無町。営業時間8:30〜16:00、火曜休み、駐車場約45台。"
FRT013,JA香川県 讃さん広場 飯山店,JA大型産直,ローカル,https://www.kw-ja.or.jp/shop/shop-7887/,https://www.google.com/maps/search/?api=1&query=讃さん広場 飯山店,県内産野菜・果物・加工品,不可,可,限定的,少量可,低〜中,旬果物,"丸亀市だが大型産直。桃・いちご・柑橘など季節仕入れ候補。"
FRT014,高松市中央卸売市場 うみまち商店街,市場関連店舗,ローカル,https://seaandsunmarket.com/,https://www.google.com/maps/search/?api=1&query=高松市中央卸売市場 うみまち商店街,青果・水産・関連食品,要確認,可,店舗次第,少量可,中,通年,"市場関連棟。少量多品目の買い出し候補。"
FRT015,Mマート,業務用食材EC,オンライン,https://www.m-mart.co.jp/,,"フルーツ・輸入果実・冷凍フルーツ・業務用食材",配送可,不可,商品次第,商品次第,中〜高,通年,"飲食店等向けBtoBモール。フルーツカテゴリあり。"
FRT016,NORUCA / KIMONO FRUITS,業務用冷凍フルーツ,オンライン,https://noruca.com/,,"国産冷凍フルーツ・冷凍柑橘・フルーツソース・デザート素材",配送可,不可,商品ページで確認,商品次第,中〜高,通年,"スムージー、フルーツティー、デザート用。国産冷凍フルーツに強い。"
FRT017,タカ食品工業,業務用フルーツピューレ,オンライン,https://www.takafoods.co.jp/shop/frozenpuree/,,"冷凍フルーツピューレ・製菓材料",配送可,不可,商品次第,ケース単位中心,中〜高,通年,"国産原料の冷凍ピューレシリーズあり。ドリンク・ソース・パフェ向き。"
FRT018,ストロングハート,業務用冷凍フルーツ加工品,オンライン,https://fruits.strongheart.co.jp/fruitspuree/,,"冷凍フルーツ・ピューレ・スムージー素材",配送可,不可,商品次第,要確認,中〜高,通年,"業務用スムージー、フルーツデザート、フレッシュジュース素材候補。"
