recipe_id,menu_id,ingredient_id,quantity,unit,waste_rate,notes
R001,M001,I001,18,g,0.03,18g使用
R002,M001,I012,1,個,0,テイクアウト想定
R003,M002,I001,18,g,0.03,
R004,M002,I002,180,ml,0.05,
R005,M002,I012,1,個,0,
R006,M003,I003,8,g,0.05,
R007,M003,I002,180,ml,0.05,
R008,M003,I010,12,g,0.02,
R009,M003,I012,1,個,0,
R010,M004,I004,220,ml,0.03,
R011,M004,I005,50,g,0.05,
R012,M004,I011,80,g,0.02,
R013,M004,I012,1,個,0,
R014,M005,I002,120,ml,0.05,
R015,M005,I006,120,g,0.08,
R016,M005,I010,15,g,0.02,
R017,M005,I012,1,個,0,
R018,M006,I006,120,g,0.08,
R019,M006,I009,80,ml,0.05,
R020,M006,I010,20,g,0.02,
R021,M007,I007,1,枚,0.02,
R022,M008,I008,80,g,0.05,
R023,M008,I009,40,ml,0.05,
R024,M008,I010,20,g,0.02,
