item_name,product_form,unit,observation_count,median_unit_price_yen,mean_unit_price_yen,min_unit_price_yen,max_unit_price_yen,suppliers,source_urls,latest_checked_date
いちご,冷凍,kg,7,1209.0,1368.4285714285713,850.0,2300.0,Mマート / Mマート少量販売 / 価格.com / Foodies Marche / Amazon,https://www.m-mart.co.jp/search/cate_sub.php?cate=8&cate2=4&cate3=50 / https://www.m-mart.co.jp/shouryou/index.php?p_c1=8&p_c1_2=0&p_c2=4&p_c3=50 / https://search.kakaku.com/%E3%81%84%E3%81%A1%E3%81%94%201kg/ / https://foodiesmarche.com/view/item/000000001691 / https://www.amazon.co.jp/dp/B0DXPL3DJ2,2026-06-25
アサイー,冷凍ピューレ,g,3,3.711,3.517,1.89,4.95,楽天市場 / キョウダイマーケット / 価格.com/楽天市場,https://search.rakuten.co.jp/search/mall/%E3%82%A2%E3%82%B5%E3%82%A4%E3%83%BC%2B%E6%A5%AD%E5%8B%99%E7%94%A8/ / https://kyodaimarket.com/?pid=188845874 / https://search.kakaku.com/%E5%86%B7%E5%87%8D%E3%82%A2%E3%82%B5%E3%82%A4%E3%83%BC/,2026-06-25
アサイー,冷凍ピューレ,ml,1,2.498,2.498,2.498,2.498,価格.com/Amazon,https://search.kakaku.com/%E5%86%B7%E5%87%8D%E3%82%A2%E3%82%B5%E3%82%A4%E3%83%BC/,2026-06-25
オレンジ,冷凍,kg,1,1620.0,1620.0,1620.0,1620.0,Mマート少量販売,https://www.m-mart.co.jp/shouryou/index.php?p_c1=8&p_c1_2=0&p_c2=4&p_c3=40,2026-06-25
オレンジ,生鮮,kg,2,847.94,847.94,705.88,990.0,楽天市場,https://search.rakuten.co.jp/search/mall/%E6%A5%AD%E5%8B%99%E7%94%A8/304593/,2026-06-25
キウイ,冷凍ダイス,kg,1,1554.0,1554.0,1554.0,1554.0,フーヅフリッジ,https://foodsfridge.jp/products/762001349,2026-06-25
キウイ,冷凍ピューレ,kg,1,4862.0,4862.0,4862.0,4862.0,Yahooショッピング,https://shopping.yahoo.co.jp/search/%E5%86%B7%E5%87%8D%E3%82%AD%E3%82%A6%E3%82%A4%E3%83%95%E3%83%AB%E3%83%BC%E3%83%84/1034/,2026-06-25
キウイ,生鮮,kg,2,1715.0,1715.0,450.0,2980.0,楽天市場 / 八面六臂,https://search.rakuten.co.jp/search/mall/%E3%82%AD%E3%82%A6%E3%82%A4%2B%E6%A5%AD%E5%8B%99%E7%94%A8/ / https://hachimenroppi.com/detail/341655/,2026-06-25
バナナ,生鮮,kg,2,256.66499999999996,256.66499999999996,228.0,285.33,価格.com/楽天市場 / 八面六臂,https://search.kakaku.com/%E3%83%90%E3%83%8A%E3%83%8A%201kg/ / https://hachimenroppi.com/item/7/72/,2026-06-25
パイナップル,冷凍カット,kg,2,1891.5,1891.5,1458.0,2325.0,餃子の王国 / Amazon,https://www.oukoku-f.com/i/h1078 / https://www.amazon.co.jp/%E5%86%B7%E5%87%8D%E3%83%91%E3%82%A4%E3%83%8A%E3%83%83%E3%83%97%E3%83%AB/b?ie=UTF8&node=26172923051,2026-06-25
パイナップル,冷凍ダイス,kg,1,1780.0,1780.0,1780.0,1780.0,楽天市場,https://search.rakuten.co.jp/search/mall/%E5%86%B7%E5%87%8D%E3%83%91%E3%82%A4%E3%83%8A%E3%83%83%E3%83%97%E3%83%AB%2B1kg/,2026-06-25
ブルーベリー,冷凍,kg,1,3780.0,3780.0,3780.0,3780.0,伊豆沼農産,https://www.izunuma.com/SHOP/BB-017.html,2026-06-25
マンゴー,冷凍カット,kg,4,1570.0,1827.0,1188.0,2980.0,マルストック / 餃子の王国 / 楽天市場,https://marustock.com/product.php?id=1011 / https://www.oukoku-f.com/i/h1073 / https://search.rakuten.co.jp/search/mall/%E5%86%B7%E5%87%8D%2B%E3%83%9E%E3%83%B3%E3%82%B4%E3%83%BC%2B1kg/,2026-06-25
ラズベリー,冷凍,kg,4,3790.0,3840.0,2580.0,5200.0,価格.com/NORUCA / 楽天市場 / Yahooショッピング / 食べチョク,https://search.kakaku.com/%E5%86%B7%E5%87%8D%E3%83%A9%E3%82%BA%E3%83%99%E3%83%AA%E3%83%BC/ / https://search.rakuten.co.jp/search/mall/%E3%83%A9%E3%82%BA%E3%83%99%E3%83%AA%E3%83%BC%2B1kg/ / https://store.shopping.yahoo.co.jp/sawada-potato/b103.html / https://www.tabechoku.com/products/keywords/%E3%83%A9%E3%82%BA%E3%83%99%E3%83%AA%E3%83%BC-%E5%86%B7%E5%87%8D,2026-06-25
