category,item_name,unit,observation_count,median_unit_price_yen,mean_unit_price_yen,min_unit_price_yen,max_unit_price_yen,suppliers,source_urls,latest_checked_date
coffee,コーヒー豆,g,8,7.731,8.189375,5.267,13.176,楽天市場 / フーヅフリッジ / KEY'S TABLE / 小川珈琲公式 / 価格.com,https://search.rakuten.co.jp/search/mall/ucc%2B%E3%82%B3%E3%83%BC%E3%83%92%E3%83%BC%E8%B1%86%2B%E6%A5%AD%E5%8B%99%E7%94%A8/ / https://foodsfridge.jp/collections/coffee2 / https://www.keycoffee.co.jp/business-shop/ec/ / https://oc-shop.co.jp/collections/coffee-beans / https://search.kakaku.com/%E5%B0%8F%E5%B7%9D%20%E3%82%B3%E3%83%BC%E3%83%92%E3%83%BC%E8%B1%86%20%E3%83%96%E3%83%AC%E3%83%B3%E3%83%89/,2026-06-25
consumables,おしぼり,2400枚,1,2.6,2.6,2.6,2.6,Bnet,https://www.bnet.gr.jp/item/list/cate/14/cate2/14/cate3/1,2026-06-25
consumables,おしぼり,2500枚,1,2.42,2.42,2.42,2.42,Bnet,https://www.bnet.gr.jp/item/list/cate/14/cate2/14/cate3/1,2026-06-25
consumables,ストレートストロー,500本,2,1.2650000000000001,1.2650000000000001,0.99,1.54,シモジマ,https://shimojima.jp/shop/c/c1119/ / https://shimojima.jp/shop/c/c111901/,2026-06-25
consumables,プラスチックカップ,1000個,1,28.462,28.462,28.462,28.462,シモジマ,https://shimojima.jp/shop/g/g2501200249247/,2026-06-25
consumables,紙カップ,1000個換算,2,11.59,11.59,11.3,11.88,シモジマ,https://shimojima.jp/shop/g/g4901755354829/,2026-06-25
consumables,紙カップ,50個,1,11.88,11.88,11.88,11.88,シモジマ,https://shimojima.jp/shop/g/g4901755354829/,2026-06-25
consumables,紙カップ用フタ,1000個,1,10.054,10.054,10.054,10.054,卸のカイコム,https://www.mizunoes.com/c/30/3004/3004001/71102714,2026-06-25
consumables,紙カップ用ペーパーリッド,1000個,1,12.067,12.067,12.067,12.067,卸のカイコム,https://www.mizunoes.com/c/30/3004/3004001/71102714,2026-06-25
consumables,透明PETカップ,1000個換算,2,13.379999999999999,13.379999999999999,13.04,13.72,シモジマ,https://shimojima.jp/shop/g/g4901755665185/,2026-06-25
consumables,透明PETカップ,50個,1,13.72,13.72,13.72,13.72,シモジマ,https://shimojima.jp/shop/g/g4901755665185/,2026-06-25
ice,かちわり氷,kg,1,482.5,482.5,482.5,482.5,中央冷凍産業,https://shop.chu-rei.co.jp/collections/pureice,2026-06-25
