supplier_id,source_category,name,type,local_or_online,address_candidate,latitude,longitude,official_url,google_maps_url,main_items,notes
FRT001,fruit,高松青果株式会社,中央卸売市場・青果卸,ローカル,高松市朝日町3-8-25,34.3546,134.0719,https://takamatsuseika.co.jp/about,https://www.google.com/maps/search/?api=1&query=高松青果株式会社,青果全般,高松市中央卸売市場内の青果卸。外食産業等への販売先記載あり。
FRT002,fruit,高松大一青果株式会社,中央卸売市場・青果卸,ローカル,高松市朝日町3-8-25,34.3546,134.0719,https://t-daiichiseika.jp/,https://www.google.com/maps/search/?api=1&query=高松大一青果株式会社,青果全般,高松中央卸売市場系の青果卸候補。
FRT003,fruit,株式会社笠井青果,中央卸売市場・仲卸,ローカル,高松市朝日町3-8-25,34.3546,134.0719,https://www.kasaiseika.com/,https://www.google.com/maps/search/?api=1&query=株式会社笠井青果 高松市中央卸売市場,高級野菜・青果,スーパー・百貨店・飲食店・病院等へ青果物を納品と明記。
FRT004,fruit,株式会社五色青果,中央卸売市場・仲卸,ローカル,高松市朝日町3-8-25,34.3546,134.0719,https://www.goshiki-seika.co.jp/,https://www.google.com/maps/search/?api=1&query=株式会社五色青果 高松市朝日町,青果・小売用加工・販売,高松市中央卸売市場内の青果仲卸。通販部門あり。
FRT005,fruit,株式会社フレッシュ,中央卸売市場・仲卸,ローカル,高松市朝日町3-8-25,34.3546,134.0719,https://seaandsunmarket.com/company/,https://www.google.com/maps/search/?api=1&query=株式会社フレッシュ 高松市中央卸売市場,青果,高松市中央卸売市場の場内業者一覧に掲載。
FRT006,fruit,丸協青果株式会社,中央卸売市場・仲卸,ローカル,高松市朝日町3-8-25,34.3546,134.0719,https://www.city.takamatsu.kagawa.jp/smph/kurashi/kurashi/shisetsu/chuoichiba/shoukai/jonaigyosha.html,https://www.google.com/maps/search/?api=1&query=丸協青果株式会社 高松市中央卸売市場,青果,高松市中央卸売市場の青果部仲卸候補。
FRT007,fruit,有限会社丸二青果,中央卸売市場・仲卸,ローカル,高松市朝日町3-8-25,34.3546,134.0719,https://www.city.takamatsu.kagawa.jp/smph/kurashi/kurashi/shisetsu/chuoichiba/shoukai/jonaigyosha.html,https://www.google.com/maps/search/?api=1&query=有限会社丸二青果 高松市中央卸売市場,青果,高松市中央卸売市場の青果部仲卸候補。
FRT008,fruit,有限会社太田青果,中央卸売市場・仲卸,ローカル,高松市朝日町3-8-25,34.3546,134.0719,https://www.city.takamatsu.kagawa.jp/smph/kurashi/kurashi/shisetsu/chuoichiba/shoukai/jonaigyosha.html,https://www.google.com/maps/search/?api=1&query=有限会社太田青果 高松市中央卸売市場,青果,高松市中央卸売市場の青果部仲卸候補。
FRT009,fruit,有限会社丸和青果,中央卸売市場・仲卸,ローカル,高松市朝日町3-8-25,34.3546,134.0719,https://www.city.takamatsu.kagawa.jp/smph/kurashi/kurashi/shisetsu/chuoichiba/shoukai/jonaigyosha.html,https://www.google.com/maps/search/?api=1&query=有限会社丸和青果 高松市中央卸売市場,青果,高松市中央卸売市場の青果部仲卸候補。
FRT010,fruit,フルーツショップ造田,果物専門店,ローカル,高松市兵庫町7-3,34.3447,134.05,https://www.kagawa-zouda.net/,https://www.google.com/maps/search/?api=1&query=フルーツショップ造田,県産果物・贈答用果物・高品質フルーツ,高松市兵庫町の老舗果実専門店。さぬき讃フルーツのマスターショップ。
FRT011,fruit,フルーツ大林,果物専門店,ローカル,高松市南新町4-4,34.3397,134.0508,https://www.ms-machi.com/shop/obayashi/,https://www.google.com/maps/search/?api=1&query=フルーツ大林 高松市南新町,果物全般,高松市南新町の果物店。中心部で買い出ししやすい。
FRT012,fruit,JA香川県 フルーツの里,JA産直,ローカル,高松市鬼無町佐料20-1,34.3344,133.9976,https://www.kw-ja.or.jp/shop/shop-8268/,https://www.google.com/maps/search/?api=1&query=JA香川県 フルーツの里,地元果物・柑橘・野菜,高松市鬼無町。営業時間8:30〜16:00、火曜休み、駐車場約45台。
FRT013,fruit,JA香川県 讃さん広場 飯山店,JA大型産直,ローカル,丸亀市飯山町西坂元655-1,34.2736,133.8504,https://www.kw-ja.or.jp/shop/shop-7887/,https://www.google.com/maps/search/?api=1&query=讃さん広場 飯山店,県内産野菜・果物・加工品,丸亀市だが大型産直。桃・いちご・柑橘など季節仕入れ候補。
FRT014,fruit,高松市中央卸売市場 うみまち商店街,市場関連店舗,ローカル,高松市朝日町3-8-25,34.3546,134.0719,https://seaandsunmarket.com/,https://www.google.com/maps/search/?api=1&query=高松市中央卸売市場 うみまち商店街,青果・水産・関連食品,市場関連棟。少量多品目の買い出し候補。
