supplier_id,name,type,local_or_online,official_url,google_maps_url,main_items,delivery_available,pickup_available,notes,source_category,product_tags,fruit_tags,coffee_tags,dairy_tags,tea_tags,syrup_tags,powder_tags,cup_tags,container_tags,packaging_tags,cleaning_tags,machine_tags,ice_tags,other_tags,strength_tags,order_methods,minimum_order,minimum_amount,delivery_area,delivery_days,payment_methods,business_hours,closed_days,target_customers,last_verified,source_url,info_confidence,research_status,notes_research
FRT001,高松青果株式会社,中央卸売市場・青果卸,ローカル,https://takamatsuseika.co.jp/about,https://www.google.com/maps/search/?api=1&query=高松青果株式会社,青果全般,要確認,要確認,高松市中央卸売市場内の青果卸。外食産業等への販売先記載あり。,fruit,,要確認,,,,,,,,,,,,,通年,,業務取引前提,,,,,,,,,,,,中〜高
FRT002,高松大一青果株式会社,中央卸売市場・青果卸,ローカル,https://t-daiichiseika.jp/,https://www.google.com/maps/search/?api=1&query=高松大一青果株式会社,青果全般,要確認,要確認,高松中央卸売市場系の青果卸候補。,fruit,,要確認,,,,,,,,,,,,,通年,,業務取引前提,,,,,,,,,,,,中〜高
FRT003,株式会社笠井青果,中央卸売市場・仲卸,ローカル,https://www.kasaiseika.com/,https://www.google.com/maps/search/?api=1&query=株式会社笠井青果 高松市中央卸売市場,高級野菜・青果,可,要確認,スーパー・百貨店・飲食店・病院等へ青果物を納品と明記。,fruit,,要確認,,,,,,,,,,,,,通年,,業務取引前提,,,,,,,,,,,,中〜高
FRT004,株式会社五色青果,中央卸売市場・仲卸,ローカル,https://www.goshiki-seika.co.jp/,https://www.google.com/maps/search/?api=1&query=株式会社五色青果 高松市朝日町,青果・小売用加工・販売,要確認,要確認,高松市中央卸売市場内の青果仲卸。通販部門あり。,fruit,,要確認,,,,,,,,,,,,,通年,,業務取引前提,,,,,,,,,,,,中〜高
FRT005,株式会社フレッシュ,中央卸売市場・仲卸,ローカル,https://seaandsunmarket.com/company/,https://www.google.com/maps/search/?api=1&query=株式会社フレッシュ 高松市中央卸売市場,青果,要確認,要確認,高松市中央卸売市場の場内業者一覧に掲載。,fruit,,要確認,,,,,,,,,,,,,通年,,業務取引前提,,,,,,,,,,,,中
FRT006,丸協青果株式会社,中央卸売市場・仲卸,ローカル,https://www.city.takamatsu.kagawa.jp/smph/kurashi/kurashi/shisetsu/chuoichiba/shoukai/jonaigyosha.html,https://www.google.com/maps/search/?api=1&query=丸協青果株式会社 高松市中央卸売市場,青果,要確認,要確認,高松市中央卸売市場の青果部仲卸候補。,fruit,,要確認,,,,,,,,,,,,,通年,,業務取引前提,,,,,,,,,,,,中
FRT007,有限会社丸二青果,中央卸売市場・仲卸,ローカル,https://www.city.takamatsu.kagawa.jp/smph/kurashi/kurashi/shisetsu/chuoichiba/shoukai/jonaigyosha.html,https://www.google.com/maps/search/?api=1&query=有限会社丸二青果 高松市中央卸売市場,青果,要確認,要確認,高松市中央卸売市場の青果部仲卸候補。,fruit,,要確認,,,,,,,,,,,,,通年,,業務取引前提,,,,,,,,,,,,中
FRT008,有限会社太田青果,中央卸売市場・仲卸,ローカル,https://www.city.takamatsu.kagawa.jp/smph/kurashi/kurashi/shisetsu/chuoichiba/shoukai/jonaigyosha.html,https://www.google.com/maps/search/?api=1&query=有限会社太田青果 高松市中央卸売市場,青果,要確認,要確認,高松市中央卸売市場の青果部仲卸候補。,fruit,,要確認,,,,,,,,,,,,,通年,,業務取引前提,,,,,,,,,,,,中
FRT009,有限会社丸和青果,中央卸売市場・仲卸,ローカル,https://www.city.takamatsu.kagawa.jp/smph/kurashi/kurashi/shisetsu/chuoichiba/shoukai/jonaigyosha.html,https://www.google.com/maps/search/?api=1&query=有限会社丸和青果 高松市中央卸売市場,青果,要確認,要確認,高松市中央卸売市場の青果部仲卸候補。,fruit,,要確認,,,,,,,,,,,,,通年,,業務取引前提,,,,,,,,,,,,中
FRT010,フルーツショップ造田,果物専門店,ローカル,https://www.kagawa-zouda.net/,https://www.google.com/maps/search/?api=1&query=フルーツショップ造田,県産果物・贈答用果物・高品質フルーツ,要確認,可,高松市兵庫町の老舗果実専門店。さぬき讃フルーツのマスターショップ。,fruit,,要確認,,,,,,,,,,,,,旬果物,,少量相談,,,,,,,,,,,,高
FRT011,フルーツ大林,果物専門店,ローカル,https://www.ms-machi.com/shop/obayashi/,https://www.google.com/maps/search/?api=1&query=フルーツ大林 高松市南新町,果物全般,要確認,可,高松市南新町の果物店。中心部で買い出ししやすい。,fruit,,要確認,,,,,,,,,,,,,旬果物,,少量相談,,,,,,,,,,,,中〜高
FRT012,JA香川県 フルーツの里,JA産直,ローカル,https://www.kw-ja.or.jp/shop/shop-8268/,https://www.google.com/maps/search/?api=1&query=JA香川県 フルーツの里,地元果物・柑橘・野菜,不可,可,高松市鬼無町。営業時間8:30〜16:00、火曜休み、駐車場約45台。,fruit,,限定的,,,,,,,,,,,,,旬果物,,少量可,,,,,,,,,,,,低〜中
FRT013,JA香川県 讃さん広場 飯山店,JA大型産直,ローカル,https://www.kw-ja.or.jp/shop/shop-7887/,https://www.google.com/maps/search/?api=1&query=讃さん広場 飯山店,県内産野菜・果物・加工品,不可,可,丸亀市だが大型産直。桃・いちご・柑橘など季節仕入れ候補。,fruit,,限定的,,,,,,,,,,,,,旬果物,,少量可,,,,,,,,,,,,低〜中
FRT014,高松市中央卸売市場 うみまち商店街,市場関連店舗,ローカル,https://seaandsunmarket.com/,https://www.google.com/maps/search/?api=1&query=高松市中央卸売市場 うみまち商店街,青果・水産・関連食品,要確認,可,市場関連棟。少量多品目の買い出し候補。,fruit,,店舗次第,,,,,,,,,,,,,通年,,少量可,,,,,,,,,,,,中
FRT015,Mマート,業務用食材EC,オンライン,https://www.m-mart.co.jp/,,フルーツ・輸入果実・冷凍フルーツ・業務用食材,配送可,不可,飲食店等向けBtoBモール。フルーツカテゴリあり。,fruit,,商品次第,,,,,,,,,,,,,通年,,商品次第,,,,,,,,,,,,中〜高
FRT016,NORUCA / KIMONO FRUITS,業務用冷凍フルーツ,オンライン,https://noruca.com/,,国産冷凍フルーツ・冷凍柑橘・フルーツソース・デザート素材,配送可,不可,スムージー、フルーツティー、デザート用。国産冷凍フルーツに強い。,fruit,,商品ページで確認,,,,,,,,,,,,,通年,,商品次第,,,,,,,,,,,,中〜高
FRT017,タカ食品工業,業務用フルーツピューレ,オンライン,https://www.takafoods.co.jp/shop/frozenpuree/,,冷凍フルーツピューレ・製菓材料,配送可,不可,国産原料の冷凍ピューレシリーズあり。ドリンク・ソース・パフェ向き。,fruit,,商品次第,,,,,,,,,,,,,通年,,ケース単位中心,,,,,,,,,,,,中〜高
FRT018,ストロングハート,業務用冷凍フルーツ加工品,オンライン,https://fruits.strongheart.co.jp/fruitspuree/,,冷凍フルーツ・ピューレ・スムージー素材,配送可,不可,業務用スムージー、フルーツデザート、フレッシュジュース素材候補。,fruit,,商品次第,,,,,,,,,,,,,通年,,要確認,,,,,,,,,,,,中〜高
FRT019,株式会社セビア,業務用青果加工・冷凍フルーツ,オンライン,https://sevia.co.jp/news/,,冷凍フルーツ・冷凍野菜・フルーツピューレ・カット野菜,配送可,不可,冷凍フルーツ、冷凍野菜、ピューレ、カット野菜の業務用候補。,fruit,,商品次第,,,,,,,,,,,,,通年,,業務取引前提,,,,,,,,,,,,中〜高
FRT020,八面六臂,業務用食材EC,オンライン,https://hachimenroppi.com/,,野菜・フルーツ・水産・精肉・調味料,高松は要確認,不可,品揃えは強いが、公式上の主配送エリアは1都3県のため高松利用は優先度低め。,fruit,,商品ページで確認,,,,,,,,,,,,,通年,,商品次第,,,,,,,,,,,,中〜高
FRT031,ギフトフルーツ ヤマネ,さぬき讃フルーツマスターショップ,ローカル,,https://www.google.com/maps/search/?api=1&query=ギフトフルーツ ヤマネ 高松市兵庫町1-17,県産果物・贈答用果物,,可,高松市兵庫町1-17。電話087-851-3069。10:00-19:00、日曜・月曜定休。県公式では現在営業休止中。,fruit,,,,,,,,,,,,,,,旬果物,,少量相談,,,,,,,,,,,,高
FRT032,フルーツたかぎ 回生病院前店,さぬき讃フルーツマスターショップ,ローカル,,https://www.google.com/maps/search/?api=1&query=フルーツたかぎ 回生病院前店 坂出市旭町3-1-4,県産果物・高品質フルーツ,,可,坂出市旭町3-1-4。電話0877-46-0533。10:00-19:30、日祝19:00まで。不定休。,fruit,,,,,,,,,,,,,,,旬果物,,少量相談,,,,,,,,,,,,高
FRT033,高松三越 青果コーナー,百貨店青果,ローカル,https://www.mitsukoshi.mistore.jp/takamatsu.html,https://www.google.com/maps/search/?api=1&query=高松三越 高松市内町7-1,さぬき讃フルーツ・高品質果物,,可,高松市内町7-1。電話087-813-1034。10:00-19:00。不定休。高品質・贈答向き。,fruit,,,,,,,,,,,,,,,旬果物,,少量可,,,,,,,,,,,,高
FRT034,いきいき産直 十河店,JA産直,ローカル,https://life.ja-group.jp/farm/market/list?state=%E9%A6%99%E5%B7%9D%E7%9C%8C,https://www.google.com/maps/search/?api=1&query=いきいき産直 十河店 高松市十川西町298-1,地元野菜・果物,,可,高松市十川西町298-1。電話087-848-4783。6:30-16:00、水曜定休、駐車場21台。,fruit,,,,,,,,,,,,,,,旬果物,,少量可,,,,,,,,,,,,低〜中
FRT035,いきいき産直 林店,JA産直,ローカル,https://life.ja-group.jp/farm/market/list?state=%E9%A6%99%E5%B7%9D%E7%9C%8C,https://www.google.com/maps/search/?api=1&query=いきいき産直 林店 高松市林町351-4,地元野菜・果物,,可,高松市林町351-4。電話087-865-5685。6:30-16:00、火曜定休、駐車場60台。,fruit,,,,,,,,,,,,,,,旬果物,,少量可,,,,,,,,,,,,低〜中
FRT036,グリーンピア岡本,JA産直,ローカル,https://life.ja-group.jp/farm/market/list?state=%E9%A6%99%E5%B7%9D%E7%9C%8C,https://www.google.com/maps/search/?api=1&query=グリーンピア岡本 高松市岡本町944,地元野菜・果物,,可,高松市岡本町字幸ノ神944。電話087-885-6996。8:30-16:00、水曜定休、駐車場70台。,fruit,,,,,,,,,,,,,,,旬果物,,少量可,,,,,,,,,,,,低〜中
FRT037,中央ふれあい市場 本店,JA産直,ローカル,https://life.ja-group.jp/farm/market/list?state=%E9%A6%99%E5%B7%9D%E7%9C%8C,https://www.google.com/maps/search/?api=1&query=中央ふれあい市場 本店 高松市太田上町315-1,地元野菜・果物,,可,高松市太田上町315-1。電話087-815-5277。8:30-15:00、季節により変更あり。水曜定休、駐車場40台。,fruit,,,,,,,,,,,,,,,旬果物,,少量可,,,,,,,,,,,,低〜中
FRT038,中央ふれあい市場 古高松店,JA産直,ローカル,https://life.ja-group.jp/farm/market/list?state=%E9%A6%99%E5%B7%9D%E7%9C%8C,https://www.google.com/maps/search/?api=1&query=中央ふれあい市場 古高松店 高松市高松町2170-1,地元野菜・果物,,可,高松市高松町2170-1。電話087-841-1606。8:30-15:00、季節により変更あり。火曜定休、駐車場60台。,fruit,,,,,,,,,,,,,,,旬果物,,少量可,,,,,,,,,,,,低〜中
